	0
GO:0000003	GO:0050876
GO:0000022	GO:1905121
GO:0000050	GO:0006871
GO:0000055	GO:0000057
GO:0000056	GO:0000058
GO:0000070	GO:0016359
GO:0000073	GO:0030475
GO:0000075	GO:0072407
GO:0000076	GO:0072437
GO:0000077	GO:0072422
GO:0000103	GO:0019378
GO:0000122	GO:0045816
GO:0000128	GO:0043690
GO:0000132	GO:0030609
GO:0000154	GO:0016548
GO:0000161	GO:0007233
GO:0000162	GO:0009096
GO:0000165	GO:0007255
GO:0000212	GO:0043147
GO:0000244	GO:0000355
GO:0000270	GO:0009284
GO:0000272	GO:0044244
GO:0000278	GO:0007067
GO:0000292	GO:0030452
GO:0000338	GO:0010388
GO:0000348	GO:0000371
GO:0000349	GO:0000357
GO:0000350	GO:0000359
GO:0000354	GO:0000361
GO:0000375	GO:0031202
GO:0000388	GO:0000397
GO:0000389	GO:0000383
GO:0000390	GO:0000392
GO:0000395	GO:0000369
GO:0000398	GO:0006375
GO:0000448	GO:0000490
GO:0000462	GO:1990041
GO:0000724	GO:0016924
GO:0000741	GO:0007335
GO:0000743	GO:0006946
GO:0000747	GO:0030477
GO:0000749	GO:0030434
GO:0000750	GO:0030454
GO:0000751	GO:0030571
GO:0000752	GO:0007334
GO:0000753	GO:0007332
GO:0000754	GO:0030453
GO:0000755	GO:0030462
GO:0000770	GO:0007325
GO:0000902	GO:0045791
GO:0000910	GO:0033205
GO:0000915	GO:2000708
GO:0000917	GO:1902411
GO:0000920	GO:2000695
GO:0001109	GO:0001122
GO:0001112	GO:0001127
GO:0001173	GO:0001176
GO:0001182	GO:0001184
GO:0001188	GO:0001189
GO:0001192	GO:0001194
GO:0001410	GO:0055027
GO:0001562	GO:0042833
GO:0001654	GO:0042460
GO:0001694	GO:0001693
GO:0001702	GO:0048276
GO:0001744	GO:0007457
GO:0001748	GO:0048049
GO:0001752	GO:0007459
GO:0001806	GO:0016069
GO:0001816	GO:0050663
GO:0001817	GO:0050707
GO:0001818	GO:0050710
GO:0001819	GO:0050715
GO:0001841	GO:0001679
GO:0001942	GO:0001943
