	0
GO:0000124	GO:0030914
GO:0000418	GO:0000420
GO:0000419	GO:0080137
GO:0000438	GO:0000443
GO:0000439	GO:0000441
GO:0000440	GO:0000442
GO:0000444	GO:0000818
GO:0000775	GO:0097521
GO:0000776	GO:0031617
GO:0000779	GO:0000780
GO:0000781	GO:0000784
GO:0000785	GO:0005717
GO:0000786	GO:0005718
GO:0000791	GO:0035327
GO:0000792	GO:0035328
GO:0000795	GO:0005716
GO:0000796	GO:0061814
GO:0000922	GO:0030615
GO:0000931	GO:0061494
GO:0000935	GO:0043187
GO:0000939	GO:0000941
GO:0000940	GO:0000942
GO:0001673	GO:0043081
GO:0001674	GO:0043080
GO:0005575	GO:0008372
GO:0005604	GO:0008003
GO:0005635	GO:0005636
GO:0005641	GO:0005653
GO:0005643	GO:0005644
GO:0005667	GO:0044798
GO:0005721	GO:0062199
GO:0005746	GO:0097249
GO:0005747	GO:0005748
GO:0005749	GO:0030390
GO:0005750	GO:0015008
GO:0005751	GO:0005752
GO:0005753	GO:0016470
GO:0005758	GO:0031971
GO:0005759	GO:0031980
GO:0005777	GO:0019818
GO:0005782	GO:0031909
GO:0005786	GO:0005855
GO:0005788	GO:0016022
GO:0005795	GO:0016940
GO:0005826	GO:0030480
GO:0005835	GO:0031374
GO:0005839	GO:0000503
GO:0005840	GO:0033279
GO:0005886	GO:0005904
GO:0005901	GO:0016599
GO:0005912	GO:0005913
GO:0005925	GO:0008357
GO:0005929	GO:0072372
GO:0005930	GO:0035086
GO:0005940	GO:0030481
GO:0005943	GO:0035030
GO:0005944	GO:0035031
GO:0005958	GO:0005959
GO:0005960	GO:0070015
GO:0005969	GO:0005970
GO:0008275	GO:0061495
GO:0008278	GO:0043222
GO:0008623	GO:0016588
GO:0009431	GO:0009430
GO:0009510	GO:0009572
GO:0009521	GO:0030090
GO:0009986	GO:0009929
GO:0010287	GO:0010502
GO:0012507	GO:0030664
GO:0012511	GO:0009520
GO:0014069	GO:0097483
GO:0016020	GO:0098805
GO:0016442	GO:0035068
GO:0016461	GO:0005860
GO:0016529	GO:0008221
GO:0016586	GO:0070604
GO:0016592	GO:0000119
GO:0017053	GO:0090569
GO:0017086	GO:0031212
GO:0019008	GO:0019009
GO:0019013	GO:0019014
GO:0019028	GO:0046728
GO:0019815	GO:0042570
GO:0019897	GO:0000157
GO:0019898	GO:0030396
GO:0020020	GO:0005772
GO:0022625	GO:0030872
GO:0022626	GO:0030871
GO:0022627	GO:0030873
GO:0030118	GO:0016190
GO:0030126	GO:0017167
GO:0030134	GO:0140045
GO:0030135	GO:0005909
GO:0030143	GO:0005807
GO:0030175	GO:0030028
GO:0030427	GO:0030483
GO:0030430	GO:0097679
GO:0030478	GO:0000143
GO:0030479	GO:0005857
GO:0030877	GO:0034747
GO:0030892	GO:0034990
GO:0030893	GO:0034991
GO:0030964	GO:0045280
GO:0031012	GO:0005578
GO:0031236	GO:0031238
GO:0031410	GO:0016023
GO:0031514	GO:0031512
GO:0031982	GO:0031988
GO:0032221	GO:0000509
GO:0032432	GO:0030482
GO:0032991	GO:0043234
GO:0033065	GO:0033062
GO:0033290	GO:0016283
GO:0033553	GO:1902377
GO:0033588	GO:0033589
GO:0033698	GO:0000508
GO:0035354	GO:0038125
GO:0035355	GO:0038126
GO:0036064	GO:0005932
GO:0042025	GO:0033649
GO:0042597	GO:0005620
GO:0042603	GO:0042604
GO:0042729	GO:0043926
GO:0043186	GO:0018994
GO:0043190	GO:0043192
GO:0043220	GO:0044287
GO:0043263	GO:1990296
GO:0043509	GO:0048181
GO:0043510	GO:0048182
GO:0043591	GO:0055030
GO:0043625	GO:0005659
GO:0044218	GO:0044279
GO:0044231	GO:0072556
GO:0044289	GO:0044285
GO:0044423	GO:0019012
GO:0045244	GO:0045245
GO:0045254	GO:0009364
GO:0045259	GO:0045255
GO:0045260	GO:0045256
GO:0045271	GO:0045279
GO:0045275	GO:0045285
GO:0045276	GO:0045286
GO:0045277	GO:0045287
GO:0045278	GO:0045288
GO:0048556	GO:0043074
GO:0060170	GO:0020017
GO:0061638	GO:1904834
GO:0070603	GO:0090544
GO:0071142	GO:0071143
GO:0071144	GO:0071146
GO:0071256	GO:0031206
GO:0071986	GO:0034449
GO:0072517	GO:0072516
GO:0097730	GO:0031513
GO:0098636	GO:1990307
GO:0098855	GO:1990759
GO:0099115	GO:1990707
GO:0099512	GO:0043205
GO:0140552	GO:0071151
GO:1990316	GO:0070969
GO:1990429	GO:1990415
GO:1990477	GO:1990345
GO:1990904	GO:1990903
