	0
GO:0000015	cellular_component
GO:0000109	cellular_component
GO:0000110	cellular_component
GO:0000111	cellular_component
GO:0000112	cellular_component
GO:0000113	cellular_component
GO:0000118	cellular_component
GO:0000120	cellular_component
GO:0000123	cellular_component
GO:0000124	cellular_component
GO:0000126	cellular_component
GO:0000127	cellular_component
GO:0000131	cellular_component
GO:0000133	cellular_component
GO:0000136	cellular_component
GO:0000137	cellular_component
GO:0000138	cellular_component
GO:0000139	cellular_component
GO:0000142	cellular_component
GO:0000144	cellular_component
GO:0000145	cellular_component
GO:0000148	cellular_component
GO:0000151	cellular_component
GO:0000152	cellular_component
GO:0000153	cellular_component
GO:0000159	cellular_component
GO:0000164	cellular_component
GO:0000172	cellular_component
GO:0000176	cellular_component
GO:0000177	cellular_component
GO:0000178	cellular_component
GO:0000214	cellular_component
GO:0000220	cellular_component
GO:0000221	cellular_component
GO:0000222	cellular_component
GO:0000223	cellular_component
GO:0000228	cellular_component
GO:0000235	cellular_component
GO:0000242	cellular_component
GO:0000243	cellular_component
GO:0000262	cellular_component
GO:0000274	cellular_component
GO:0000275	cellular_component
GO:0000276	cellular_component
GO:0000307	cellular_component
GO:0000308	cellular_component
GO:0000311	cellular_component
GO:0000312	cellular_component
GO:0000313	cellular_component
GO:0000314	cellular_component
GO:0000315	cellular_component
GO:0000322	cellular_component
GO:0000323	cellular_component
GO:0000324	cellular_component
GO:0000325	cellular_component
GO:0000326	cellular_component
GO:0000327	cellular_component
GO:0000328	cellular_component
GO:0000329	cellular_component
GO:0000330	cellular_component
GO:0000331	cellular_component
GO:0000333	cellular_component
GO:0000343	cellular_component
GO:0000344	cellular_component
GO:0000345	cellular_component
GO:0000346	cellular_component
GO:0000347	cellular_component
GO:0000399	cellular_component
GO:0000407	cellular_component
GO:0000408	cellular_component
GO:0000417	cellular_component
GO:0000418	cellular_component
GO:0000419	cellular_component
GO:0000421	cellular_component
GO:0000427	cellular_component
GO:0000428	cellular_component
GO:0000438	cellular_component
GO:0000439	cellular_component
GO:0000440	cellular_component
GO:0000444	cellular_component
GO:0000445	cellular_component
GO:0000446	cellular_component
GO:0000500	cellular_component
GO:0000502	cellular_component
GO:0000506	cellular_component
GO:0000775	cellular_component
GO:0000776	cellular_component
GO:0000779	cellular_component
GO:0000781	cellular_component
GO:0000782	cellular_component
GO:0000783	cellular_component
GO:0000785	cellular_component
GO:0000786	cellular_component
GO:0000791	cellular_component
GO:0000792	cellular_component
GO:0000793	cellular_component
GO:0000794	cellular_component
GO:0000795	cellular_component
GO:0000796	cellular_component
GO:0000800	cellular_component
GO:0000801	cellular_component
GO:0000802	cellular_component
GO:0000803	cellular_component
GO:0000804	cellular_component
GO:0000805	cellular_component
GO:0000806	cellular_component
GO:0000807	cellular_component
GO:0000808	cellular_component
