	0
GO:0000010	GO:0036422
GO:0000049	GO:0000946
GO:0000095	GO:0015177
GO:0000100	GO:0015178
GO:0000104	GO:0019739
GO:0000146	GO:0030898
GO:0000179	GO:0043790
GO:0000215	GO:0008665
GO:0000253	GO:0050576
GO:0000268	GO:0005051
GO:0000310	GO:0009043
GO:0000703	GO:0019004
GO:0000976	GO:0044212
GO:0000977	GO:0001012
GO:0000978	GO:0000980
GO:0000981	GO:0003705
GO:0000987	GO:0035326
GO:0000995	GO:0001034
GO:0001002	GO:0001030
GO:0001003	GO:0001031
GO:0001006	GO:0001032
GO:0001018	GO:0070364
GO:0001039	GO:0001037
GO:0001046	GO:0001047
GO:0001147	GO:0001160
GO:0001161	GO:0044213
GO:0001163	GO:0001013
GO:0001164	GO:0001187
GO:0001165	GO:0001166
GO:0001216	GO:0001215
GO:0001217	GO:0001220
GO:0001221	GO:0001224
GO:0001222	GO:0001226
GO:0001223	GO:0001225
GO:0001227	GO:0001214
GO:0001228	GO:0001213
GO:0001588	GO:0001590
GO:0001591	GO:0001670
GO:0001609	GO:0008501
GO:0001614	GO:0035586
GO:0001621	GO:0045032
GO:0001634	GO:0016522
GO:0001646	GO:0001644
GO:0001872	GO:0080087
GO:0002046	GO:0016030
GO:0002162	GO:0002166
GO:0003674	GO:0005554
GO:0003676	GO:0000496
GO:0003677	GO:0043566
GO:0003678	GO:0004003
GO:0003689	GO:0033170
GO:0003697	GO:0003699
GO:0003700	GO:0001204
GO:0003712	GO:0016455
GO:0003713	GO:0001105
GO:0003714	GO:0001106
GO:0003723	GO:0044822
GO:0003724	GO:0004004
GO:0003726	GO:0003971
GO:0003727	GO:0003728
GO:0003729	GO:0000499
GO:0003735	GO:0003742
GO:0003743	GO:0003745
GO:0003746	GO:0008183
GO:0003747	GO:0003749
GO:0003755	GO:0042028
GO:0003756	GO:0006467
GO:0003777	GO:1990939
GO:0003838	GO:0102101
GO:0003841	GO:0004469
GO:0003843	GO:0009981
GO:0003853	GO:0047119
GO:0003863	GO:0003826
GO:0003878	GO:0046913
GO:0003886	GO:0008326
GO:0003887	GO:0019984
GO:0003896	GO:0003898
GO:0003899	GO:0000129
GO:0003905	GO:0004036
GO:0003916	GO:0009387
GO:0003918	GO:0061505
GO:0003924	GO:0061745
GO:0003925	GO:0003927
GO:0003959	GO:0016660
GO:0003961	GO:0019282
GO:0003962	GO:0000505
GO:0003973	GO:0052854
GO:0003992	GO:0047318
GO:0003994	GO:0052632
GO:0003995	GO:0019109
GO:0004031	GO:0050250
GO:0004045	GO:0019851
GO:0004057	GO:0042172
GO:0004058	GO:0016400
GO:0004092	GO:0004094
GO:0004096	GO:0016953
GO:0004097	GO:0102316
GO:0004121	GO:0008799
GO:0004123	GO:0016225
