	0
GO:0000006	molecular_function
GO:0000007	molecular_function
GO:0000009	molecular_function
GO:0000010	molecular_function
GO:0000014	molecular_function
GO:0000016	molecular_function
GO:0000026	molecular_function
GO:0000030	molecular_function
GO:0000031	molecular_function
GO:0000033	molecular_function
GO:0000034	molecular_function
GO:0000035	molecular_function
GO:0000036	molecular_function
GO:0000048	molecular_function
GO:0000049	molecular_function
GO:0000062	molecular_function
GO:0000064	molecular_function
GO:0000095	molecular_function
GO:0000099	molecular_function
GO:0000100	molecular_function
GO:0000102	molecular_function
GO:0000104	molecular_function
GO:0000107	molecular_function
GO:0000121	molecular_function
GO:0000140	molecular_function
GO:0000146	molecular_function
GO:0000149	molecular_function
GO:0000150	molecular_function
GO:0000155	molecular_function
GO:0000156	molecular_function
GO:0000166	molecular_function
GO:0000170	molecular_function
GO:0000171	molecular_function
GO:0000175	molecular_function
GO:0000179	molecular_function
GO:0000182	molecular_function
GO:0000210	molecular_function
GO:0000213	molecular_function
GO:0000215	molecular_function
GO:0000217	molecular_function
GO:0000224	molecular_function
GO:0000225	molecular_function
GO:0000227	molecular_function
GO:0000234	molecular_function
GO:0000246	molecular_function
GO:0000247	molecular_function
GO:0000248	molecular_function
GO:0000249	molecular_function
GO:0000250	molecular_function
GO:0000252	molecular_function
GO:0000253	molecular_function
GO:0000254	molecular_function
GO:0000257	molecular_function
GO:0000268	molecular_function
GO:0000269	molecular_function
GO:0000277	molecular_function
GO:0000285	molecular_function
GO:0000286	molecular_function
GO:0000287	molecular_function
GO:0000293	molecular_function
GO:0000295	molecular_function
GO:0000297	molecular_function
GO:0000298	molecular_function
GO:0000309	molecular_function
GO:0000310	molecular_function
GO:0000319	molecular_function
GO:0000332	molecular_function
GO:0000334	molecular_function
GO:0000339	molecular_function
GO:0000340	molecular_function
GO:0000341	molecular_function
GO:0000342	molecular_function
GO:0000384	molecular_function
GO:0000386	molecular_function
GO:0000400	molecular_function
GO:0000401	molecular_function
GO:0000402	molecular_function
GO:0000403	molecular_function
GO:0000404	molecular_function
GO:0000405	molecular_function
GO:0000406	molecular_function
GO:0000497	molecular_function
GO:0000510	molecular_function
GO:0000511	molecular_function
GO:0000513	molecular_function
GO:0000514	molecular_function
GO:0000515	molecular_function
GO:0000700	molecular_function
GO:0000701	molecular_function
GO:0000702	molecular_function
GO:0000703	molecular_function
GO:0000704	molecular_function
GO:0000721	molecular_function
GO:0000772	molecular_function
GO:0000773	molecular_function
GO:0000774	molecular_function
GO:0000810	molecular_function
GO:0000822	molecular_function
GO:0000823	molecular_function
GO:0000824	molecular_function
GO:0000825	molecular_function
GO:0000827	molecular_function
GO:0000828	molecular_function
GO:0000829	molecular_function
GO:0000830	molecular_function
GO:0000831	molecular_function
GO:0000832	molecular_function
GO:0000833	molecular_function
GO:0000834	molecular_function
GO:0000900	molecular_function
GO:0000901	molecular_function
GO:0000906	molecular_function
GO:0000907	molecular_function
GO:0000908	molecular_function
GO:0000976	molecular_function
GO:0000977	molecular_function
GO:0000978	molecular_function
GO:0000979	molecular_function
GO:0000981	molecular_function
GO:0000987	molecular_function
GO:0000992	molecular_function
GO:0000993	molecular_function
GO:0000994	molecular_function
GO:0000995	molecular_function
GO:0001000	molecular_function
GO:0001001	molecular_function
GO:0001002	molecular_function
GO:0001003	molecular_function
GO:0001006	molecular_function
GO:0001010	molecular_function
GO:0001016	molecular_function
GO:0001018	molecular_function
GO:0001019	molecular_function
GO:0001025	molecular_function
GO:0001039	molecular_function
GO:0001042	molecular_function
GO:0001046	molecular_function
GO:0001048	molecular_function
GO:0001049	molecular_function
GO:0001050	molecular_function
GO:0001051	molecular_function
GO:0001052	molecular_function
GO:0001054	molecular_function
GO:0001055	molecular_function
GO:0001056	molecular_function
GO:0001057	molecular_function
GO:0001058	molecular_function
GO:0001064	molecular_function
GO:0001065	molecular_function
GO:0001066	molecular_function
GO:0001067	molecular_function
GO:0001068	molecular_function
GO:0001069	molecular_function
GO:0001070	molecular_function
GO:0001072	molecular_function
GO:0001073	molecular_function
GO:0001091	molecular_function
GO:0001092	molecular_function
GO:0001093	molecular_function
GO:0001094	molecular_function
GO:0001095	molecular_function
GO:0001096	molecular_function
GO:0001097	molecular_function
GO:0001098	molecular_function
GO:0001099	molecular_function
GO:0001108	molecular_function
GO:0001139	molecular_function
GO:0001147	molecular_function
GO:0001154	molecular_function
GO:0001155	molecular_function
GO:0001156	molecular_function
GO:0001161	molecular_function
GO:0001162	molecular_function
GO:0001163	molecular_function
GO:0001164	molecular_function
GO:0001165	molecular_function
GO:0001179	molecular_function
GO:0001181	molecular_function
GO:0001216	molecular_function
GO:0001217	molecular_function
GO:0001221	molecular_function
GO:0001222	molecular_function
GO:0001223	molecular_function
GO:0001227	molecular_function
GO:0001228	molecular_function
GO:0001406	molecular_function
GO:0001409	molecular_function
GO:0001512	molecular_function
GO:0001515	molecular_function
GO:0001517	molecular_function
GO:0001530	molecular_function
GO:0001531	molecular_function
GO:0001532	molecular_function
GO:0001537	molecular_function
GO:0001540	molecular_function
GO:0001565	molecular_function
GO:0001566	molecular_function
GO:0001567	molecular_function
GO:0001571	molecular_function
GO:0001586	molecular_function
GO:0001587	molecular_function
GO:0001588	molecular_function
GO:0001591	molecular_function
GO:0001594	molecular_function
