GO	Genes	Gene_Count	Term_Description	50perc_contaminated_Genes	100perc_contaminated_Genes	Genes enriched term id	Genes enriched term description	Genes adj p-value	Genes overlap over enriched	Genes overlaping genes	50perc_contaminated_Genes enriched term id	50perc_contaminated_Genes enriched term description	50perc_contaminated_Genes adj p-value	50perc_contaminated_Genes overlap over enriched	50perc_contaminated_Genes overlaping genes	100perc_contaminated_Genes enriched term id	100perc_contaminated_Genes enriched term description	100perc_contaminated_Genes adj p-value	100perc_contaminated_Genes overlap over enriched	100perc_contaminated_Genes overlaping genes
GO:0061740	HSPA8 LAMP2 CLU	3	protein targeting to lysosome involved in chaperone-mediated autophagy	CLU RAB28 PRAMEF19	VEZT TERF1 TTC3	GO:0061740	protein targeting to lysosome involved in chaperone-mediated autophagy	5.498673439569918e-10	3/3	HSPA8,LAMP2,CLU	GO:0002434	immune complex clearance	0.0444252381314669	1/5	CLU	GO:0032214	negative regulation of telomere maintenance via semi-conservative replication	0.0133480173754731	1/2	TERF1
GO:0045056	LRP1 PICALM CLTC USO1 VPS35 FCMR RAB5A AGER IGF1R MFSD2A PIGR GP2 RAB11A RAB17 LRP2 LRPAP1 GPIHBP1 FCGRT SRC RAB11B PTAFR	21	transcytosis	CLTC VPS35 FCGRT PTAFR RAB11B USO1 LRP1 LRP2 LRPAP1 RAB11A NABP1 EEF1AKMT2 RELL1 ALKBH3 RAD23A RNASET2 STEAP4 KCNJ13 SLC6A16 QNG1 MAML2	LDAH ADH1A MAP3K6 PABIR1 AMY1C PRSS54 LGALS12 GLYCTK SIK3 METTL18 DSN1 BTLA PRAMEF2 HYPK PYGL ENDOD1 ZNF333 POLR1E MAP3K9 EWSR1 ZNF573	GO:0045056	transcytosis	1.3142055385752272e-66	21/21	USO1,RAB11B,LRP1,FCGRT,MFSD2A,VPS35,LRP2,GPIHBP1,RAB11A,IGF1R,AGER,PICALM,RAB17,PTAFR,LRPAP1,FCMR,SRC,CLTC,PIGR,RAB5A,GP2	GO:0045056	transcytosis	2.5309814333574006e-22	10/21	LRP1,USO1,FCGRT,RAB11B,CLTC,VPS35,LRP2,PTAFR,LRPAP1,RAB11A	GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	0.2973581065864223	1/6	PYGL
GO:0141085	PPP2CA CD36 MARK4 CPTP TREM2 TLR6 ATAT1 FBXL2 IRGM PYDC5 MEFV MYD88 PRKD1 TRIM31 TRIM11 GBP5 SIRT2 PLCG2 MAPK8 EIF2AK2 GBP2 MAVS PYDC1 CSNK1A1 ZDHHC12 PYDC2 USP50 BTK PTPN22 STMP1 DDX3X NLRC3 HSPA8 NEK7 NLRP2B CARD8 TLR4 DHX33 BRCC3	39	regulation of inflammasome-mediated signaling pathway	PYDC2 BRCC3 USP50 MAVS IRGM PYDC1 GBP2 ZDHHC12 TREM2 NLRC3 NEK7 NLRP2B CPTP GBP5 DDX3X SIRT2 CD36 STMP1 HSPA8 SAMD9 SLC38A10 ZNF628 PURG HOXC12 DLAT COQ2 FZD8 BTNL9 SIX1 MPC2 GPER1 DUSP13A EI24 CA7 CXCL17 COL6A3 CLP1 UVSSA PTGFR	TBC1D24 NIPSNAP2 IL1RL2 EGF PSMG2 GCSAML LIN7A TPTE2 OR2AK2 DNAAF1 CARF DENND1C MIER3 PTAFR LHX2 ZNF516 SMIM22 WDR1 NCBP2 DEFB105A RNF220 LRP6 KRT24 COL6A2 TNFRSF11A SLC44A5 ZNF263 KXD1 OAS2 NDST4 SRGAP2C ICAM2 DRC7 VRK1 PLEKHG6 SLC22A2 GUCD1 TMEM109 KRBOX5	GO:0141085	regulation of inflammasome-mediated signaling pathway	4.769799086763094e-116	39/39	ATAT1,CARD8,GBP5,MEFV,DDX3X,NLRC3,BTK,USP50,PYDC1,EIF2AK2,NEK7,PLCG2,MARK4,PYDC2,MAVS,PTPN22,ZDHHC12,TRIM31,TLR6,CD36,TREM2,FBXL2,STMP1,PRKD1,HSPA8,GBP2,TLR4,CSNK1A1,SIRT2,IRGM,NLRP2B,MYD88,PPP2CA,BRCC3,TRIM11,CPTP,PYDC5,DHX33,MAPK8	GO:0141085	regulation of inflammasome-mediated signaling pathway	4.9052300046859764e-39	19/39	GBP5,DDX3X,NLRC3,USP50,PYDC1,NEK7,PYDC2,MAVS,ZDHHC12,CD36,TREM2,STMP1,HSPA8,GBP2,IRGM,NLRP2B,SIRT2,BRCC3,CPTP	GO:0045199	maintenance of epithelial cell apical/basal polarity	0.0025756501092307	3/11	LHX2,WDR1,LIN7A
GO:0036148	CRLS1 SERAC1 PLA2G4D PLA2G4F LPGAT1 LPCAT4 PLA2G4B JMJD7-PLA2G4B LPCAT1 PLA2G2F	10	phosphatidylglycerol acyl-chain remodeling	JMJD7-PLA2G4B LPGAT1 PLA2G2F PLA2G4F CRLS1 IMMT SCUBE3 TSPO TNFRSF10A ZNF662	EIF3B GID8 ARPC5 KLHL3 SPDEF PRMT9 PTPN9 AP4E1 ZNF414 USP39	GO:0036148	phosphatidylglycerol acyl-chain remodeling	4.8430528559895626e-34	10/10	PLA2G4B,CRLS1,LPCAT4,LPGAT1,JMJD7-PLA2G4B,PLA2G4F,LPCAT1,PLA2G2F,PLA2G4D,SERAC1	GO:0036148	phosphatidylglycerol acyl-chain remodeling	3.2338055025973037e-12	5/10	CRLS1,LPGAT1,JMJD7-PLA2G4B,PLA2G4F,PLA2G2F	GO:0075525	viral translational termination-reinitiation	0.1697127250383533	1/5	EIF3B
GO:1901797	MIF SIRT1 TWIST1 DYRK1A MUC1 ARMC10 MARCHF7 CD74 TAF9 DYRK3 PTTG1IP ING2 CD44 RRN3 YJU2 KDM1A ATAD5 RRM2B SNAI2 RFFL TRIAP1 TAF9B BDKRB2 MDM2 BCL2 ELL3 RNF34 ZNF385A NOP53 SNAI1 PRKN HAPSTR1 PSMD10	33	negative regulation of signal transduction by p53 class mediator	MDM2 CD74 SNAI1 MUC1 TAF9 PRKN SNAI2 RNF34 HAPSTR1 BCL2 TAF9B YJU2 MIF ZNF385A ATAD5 BDKRB2 TRIM47 TUBD1 CD69 KCNH4 UBE2Z KIF24 COQ8A PSMD7 SPTA1 PRKD2 HAVCR2 PLEKHG4B C7 VPS41 DHX34 PODXL CA8	RAB40AL BAG3 CGGBP1 ZNF583 ZFYVE19 USP17L21 ATP8A1 USP29 TRIM49D1 ARL2BP GRIP2 PGK1 PROCA1 HSD17B1 TCN1 CFAP161 ZCCHC17 MED7 FOXI3 ERAP1 CELF6 TF STK32A SLC9C2 SLC30A4 GSDME MFSD8 OBSL1 HLA-DQB1 ADH1C MBOAT4 ABCC6 OBSCN	GO:1901797	negative regulation of signal transduction by p53 class mediator	5.054021216488304e-100	33/33	CD44,MIF,TWIST1,ELL3,TRIAP1,PRKN,BCL2,SIRT1,RRM2B,MUC1,ARMC10,DYRK1A,YJU2,ZNF385A,RFFL,HAPSTR1,TAF9B,RRN3,KDM1A,CD74,PSMD10,NOP53,ING2,MARCHF7,MDM2,TAF9,SNAI1,PTTG1IP,SNAI2,DYRK3,BDKRB2,RNF34,ATAD5	GO:1901797	negative regulation of signal transduction by p53 class mediator	1.1678359003663921e-33	16/33	CD74,MUC1,MIF,YJU2,ZNF385A,MDM2,TAF9,BDKRB2,PRKN,RNF34,SNAI1,HAPSTR1,ATAD5,TAF9B,SNAI2,BCL2	GO:0030643	intracellular phosphate ion homeostasis	0.3973751888760641	1/10	ABCC6
GO:0014896	IGFBP5 NOTCH1 PARP2 NR4A3 ADCY10 LMCD1 CAMK2D GATA6 EZH2 HDAC2 ATP2B4 TNFRSF1A SLC9A1 COL14A1 P2RX4 MYH7 AGT MYH6 PPP3CA PRKG1 PAK2 SMAD3 PDE9A MEF2A MYOC BMP10 GATA4 LMNA LEP IGF1 AKAP6 RYR2 KDM4A TRIM63 HEY2 GSK3A ROCK1 ADRA1A MTPN CAMTA2 TWF1 GLRX3 INPP5F PPARG MYMK MEIS1 TRPC3 FOXP1 NPPA TOMM70 ROCK2 HTR2B IL6ST YY1 MAP2K4 PDLIM5 EDN1 FOXO1 ACACB G6PD MSTN TNFRSF1B TIAM1 PARP1 BECN1 HAND2 MLIP CSRP3 TCAP ATP2A2 GATA5 TTN RGS2 PDE5A RAP1GDS1 PPARA CAV3 CTDP1 PRKCA KLF15 SMAD4 CYBA SORBS2 RGS4 PI16 JARID2 HDAC4	87	muscle hypertrophy	JARID2 COL14A1 SMAD3 MEF2A RAP1GDS1 HDAC4 CYBA FOXP1 IGFBP5 TIAM1 TRIM63 IL6ST ROCK1 GSK3A LMCD1 PAK2 INPP5F PRKG1 MYH6 CTDP1 TWF1 NPPA EDN1 GATA6 LMNA MTPN PDLIM5 MYH7 GATA5 BMP10 CSRP3 LEP ADRA1A MEIS1 PPARG SORBS2 YY1 MYOC RYR2 BECN1 TOMM70 PDE9A RGS4 XYLT1 SLC18A2 PLIN2 TMED10 GAB3 CCL3L3 WDR55 VGLL2 ATRIP FUT3 DCTN3 KRT17 ITGBL1 HEATR5A URGCP LSM2 ZNFX1 STARD13 PTK7 DAAM1 SLC15A3 MICB CRAMP1 DDX10 ZNF425 QKI TMEM50B ATL3 DDX25 MFSD2B TPCN1 DDX3Y ZNF141 SLC25A20 FANCD2 PLAC1 PPP1R13B CCM2L IMMP1L DHODH NUDT21 RNASE8 HSD17B6 ZNF615	OR2G6 FCAMR PELI3 NOP16 CHCHD5 OR1C1 ZNF284 ASCL1 PA2G4 CARMIL2 NLGN4Y MRGPRE SSH3 CCDC120 WDR38 CATSPERD ATF2 HACD2 XAF1 UNC45A PSMB2 HEG1 KIFAP3 FKBP7 RLIM GRWD1 PITPNM1 IKZF2 GPX8 PALM TBPL2 SPMIP10 PIGM DNTTIP2 INIP EFHB ETF1 OR2V1 OR10A6 MPC1L ZNF548 MMP17 GPR171 RIPK3 CEBPB KHNYN CDC14B KCNT1 RPL26 RBFA GLCE THBD OR1M1 CALCOCO2 CDKN3 RNASE3 GPR3 GMNN SOX11 MLXIPL PTGIR SLC20A1 NFKB2 N4BP1 CEP70 CCDC88A SIPA1L2 RGS9BP PHF13 KANSL2 HPCA CD28 METTL9 FAM151B MMEL1 DNAJB1 LGMN BOC ANGPTL4 B4GALNT1 PPBP GPR89A AMTN TAOK1 GRIN3A SIK2 DYNLT2B	GO:0014896	muscle hypertrophy	8.428923299282802e-233	87/87	PDE9A,CTDP1,BMP10,ATP2A2,RGS2,P2RX4,PPARA,ADCY10,G6PD,PAK2,MAP2K4,TNFRSF1A,ROCK1,FOXP1,PARP1,MEF2A,SLC9A1,RYR2,IGF1,MYMK,TIAM1,IGFBP5,HEY2,GATA4,KDM4A,GATA5,HDAC4,LMNA,SMAD3,HAND2,PDLIM5,AKAP6,LEP,ACACB,TCAP,PDE5A,CAMTA2,EZH2,FOXO1,GATA6,MEIS1,CSRP3,YY1,MYOC,HDAC2,SORBS2,PRKG1,PARP2,ADRA1A,TRPC3,SMAD4,COL14A1,MLIP,LMCD1,MSTN,KLF15,TNFRSF1B,INPP5F,ATP2B4,TWF1,PI16,BECN1,TRIM63,CAV3,NPPA,CAMK2D,GLRX3,JARID2,IL6ST,TOMM70,HTR2B,MYH6,PPARG,CYBA,TTN,MYH7,NR4A3,RGS4,AGT,RAP1GDS1,NOTCH1,PRKCA,MTPN,GSK3A,PPP3CA,ROCK2,EDN1	GO:0014896	muscle hypertrophy	3.763045265176589e-76	43/87	IL6ST,TOMM70,PDE9A,CTDP1,GATA5,BMP10,MYH6,PPARG,HDAC4,CYBA,ADRA1A,MYH7,RGS4,LMNA,SMAD3,PAK2,RAP1GDS1,COL14A1,PDLIM5,MTPN,LEP,LMCD1,GSK3A,ROCK1,FOXP1,GATA6,INPP5F,MEIS1,MEF2A,TWF1,RYR2,CSRP3,EDN1,BECN1,TIAM1,IGFBP5,YY1,TRIM63,NPPA,MYOC,SORBS2,JARID2,PRKG1	GO:0021550	medulla oblongata development	0.3228730126093826	2/4	ASCL1,ATF2
GO:1903025	DDRGK1 ZNF593 HAND1 DAZAP2 DDIT3 LAMTOR5 NSD1	7	regulation of RNA polymerase II regulatory region sequence-specific DNA binding	LAMTOR5 ZNF593 HAND1 OR4F5 MMP27 OR6C1 ZNF556	KCNC1 CYCS ZNF585A MLXIPL OR51A7 LY6K TOPBP1	GO:1903025	regulation of RNA polymerase II regulatory region sequence-specific DNA binding	6.919297485787257e-24	7/7	DDIT3,NSD1,ZNF593,HAND1,DAZAP2,DDRGK1,LAMTOR5	GO:1903025	regulation of RNA polymerase II regulatory region sequence-specific DNA binding	4.571805163108571e-07	3/7	LAMTOR5,ZNF593,HAND1	GO:0045991	carbon catabolite activation of transcription	0.1067043082559273	1/8	MLXIPL
GO:0043406	ADRA2A TLR6 CCL19 TRAF6 DAB2IP TAOK3 TRAF2 IRAK1 EGF EZH2 DIRAS1 DUSP19 IL1B GHR MAP3K10 PDGFA TPD52L1 DRD4 FGF18 EPGN PAK1 DIRAS2 TNFSF11 S100A12 SASH1 DVL2 RPS3 PDGFRB FGFR1 TNFRSF11A TNF GH1 INSR RASGRP1 MAP3K13 FLT3 PIK3CG NTRK3 PTPN1 PDCD10 THBS1 MAP2K7 MST1R MAP3K5 HTR2B FLT1 EDN1 PDGFB PDGFC NTF3 LRRK2 MAP2K5 CD24 PIK3R5 EDN3 MAP3K11 PDGFD FGF1 IL34 HRAS KIT ERN1 MAP3K12 NEK10 ELANE MAP3K4 WNT5A CD40 MAP4K2 PLA2G1B MAP3K7 TENM1 VEGFA ROBO1 ERP29 CRIPTO ARHGEF5 FGF2 ADAM9 PIK3R6 ERBB2 TLR4 EGFR	83	positive regulation of MAP kinase activity	TRAF6 DAB2IP KIT EZH2 PTPN1 WNT5A TLR4 MAP3K4 NTF3 ERP29 ADRA2A IL1B DIRAS2 EDN3 FGF18 PDGFD PDGFA CRIPTO EGFR ERBB2 RASGRP1 PIK3R5 ROBO1 TPD52L1 FLT3 GHR FLT1 DIRAS1 MST1R THBS1 DUSP19 TENM1 TRAF2 PIK3CG MAP3K12 PIK3R6 DRD4 TAOK3 LRRK2 PLA2G1B INSR HAPLN3 OR8B2 POLR2G ALKBH8 DDN RBBP9 KANSL2 ZNF571 HK1 ZNF317 ARHGEF25 FBXO30 PRODH OR2Y1 MCRS1 DNAJC2 LIAS CCDC115 TCTN2 MYO1B VSTM4 UBQLN2 MYLIP CYP2E1 PRNP SDF4 SFTPB MAP9 MBNL3 CARMIL2 ARL13B SLC25A39 YKT6 KCNA6 HTR6 OPRL1 TTYH3 GPR176 TANC1 ELOVL5 ASB9 SERPINF1	NIBAN1 GBP3 U2AF2 TRIML2 CDKN2D RTN3 ZNF705G EIF4E1B FRAS1 VIL1 UBQLN1 PLPPR4 CDH15 DPF1 ZNF610 BSPH1 RAPGEF6 EIF3H SIM2 ACSM1 PIDD1 MESP2 TNFRSF14 MON1A LRRC47 DNAI1 SPRR2G ZP4 ST6GAL1 KCTD13 ACKR4 MEGF11 TLE3 CDC25C AK3 ERLEC1 ACE CFAP52 CDHR1 TEP1 TIA1 ANKK1 ZNG1A HAS3 POMT2 APC2 CARMIL3 SARDH ZFYVE26 ZPBP FER1L5 CLDN34 MFAP2 MTX3 BORCS6 CSRP2 MTFP1 RPS17 USP18 ADGRE2 MAL2 ORAI3 LRRC56 TRIM49 EIF3L MGAT4B PAX1 OR14I1 SMOC2 FTH1 UNC50 COX18 MAS1 RABGGTA NSF EIF6 RNGTT ATP8 KLHL24 MED20 TMEM38B IGSF9 IL20	GO:0043406	positive regulation of MAP kinase activity	1.2837344217511896e-223	83/83	VEGFA,CD40,NTRK3,PIK3CG,DIRAS2,GHR,EGFR,NEK10,TAOK3,FGF2,TENM1,FLT3,NTF3,S100A12,MAP3K12,MAP3K5,MAP2K5,TNFSF11,EPGN,EDN3,CRIPTO,MAP2K7,FGF18,DIRAS1,EZH2,PDGFD,IL1B,TLR4,MAP3K7,DVL2,INSR,HRAS,EGF,MAP3K4,FGFR1,MAP3K13,ROBO1,TNF,PIK3R5,SASH1,FGF1,GH1,PDGFB,DAB2IP,ERBB2,CD24,RPS3,PDGFA,ERP29,RASGRP1,WNT5A,PIK3R6,PLA2G1B,PAK1,DRD4,HTR2B,ERN1,ARHGEF5,CCL19,ADRA2A,PDCD10,KIT,TLR6,TRAF6,PDGFC,MAP3K10,MST1R,LRRK2,IL34,TNFRSF11A,IRAK1,PTPN1,ADAM9,MAP3K11,PDGFRB,MAP4K2,DUSP19,EDN1,FLT1,THBS1,TRAF2,ELANE,TPD52L1	GO:0043406	positive regulation of MAP kinase activity	2.6253686531707533e-73	41/83	DRD4,MAP3K12,MAP3K4,ADRA2A,ROBO1,PIK3R5,PIK3CG,EDN3,DIRAS2,CRIPTO,KIT,TRAF6,FGF18,GHR,MST1R,EGFR,DAB2IP,LRRK2,PTPN1,DIRAS1,EZH2,PDGFD,IL1B,ERBB2,TLR4,TAOK3,DUSP19,INSR,PDGFA,ERP29,RASGRP1,FLT1,THBS1,TENM1,WNT5A,PIK3R6,PLA2G1B,FLT3,NTF3,TRAF2,TPD52L1	GO:0006413	translational initiation	0.6383540330374889	5/124	EIF3L,EIF3H,RPS17,EIF4E1B,EIF6
GO:0071459	TTK H4C2 H2BC11 CENPA SPDL1 H4C15 H4C6 CHAMP1 H4C13 H2AC4 IK H4C16 H4C5 H4C12 HASPIN RB1 SMC5 MTBP TRAPPC12 H4C8 CDK1 CENPQ H2AC8 CTCF H4C3 ZWILCH KNTC1 RCC2 AURKB H4C9 KNL1 BOD1 ZW10 BUB3 JARID2 BUB1B	36	protein localization to chromosome, centromeric region	H4C2 SPDL1 H4C3 H4C13 IK BUB1B H2AC4 AURKB CDK1 H2BC11 CTCF CHAMP1 H2AC8 ZWILCH RCC2 H4C5 JARID2 KNTC1 WWC1 PRAMEF12 POLB FDPS ARF4 SORL1 CCDC34 BCAS2 CSKMT BNIP1 ZAP70 FADD AKR1D1 SNX20 ATG101 ZNRF4 LGALS9C CLEC5A	RSRC1 NPHP4 DOLPP1 PCYOX1 ADA2 UFD1 SSBP4 BLCAP AQP6 DDO LCK XAF1 MYBBP1A COX10 NT5C3A MAST2 TSPY8 ZNG1A DCTN3 PRKAG2 OR2AP1 NPEPPS ILRUN ISL2 MED8 TMEM190 SHPK SLC25A22 NKIRAS1 FCMR SLC35F1 SHLD1 OR5M9 SEC31B ELL NDFIP2	GO:0071459	protein localization to chromosome, centromeric region	1.8294247901721082e-108	36/36	CTCF,H4C2,SPDL1,BUB1B,BOD1,H4C12,CDK1,ZWILCH,CENPA,HASPIN,TTK,H4C15,RCC2,IK,H2BC11,H2AC8,BUB3,H4C8,H4C16,CHAMP1,RB1,H4C9,AURKB,ZW10,KNL1,SMC5,H4C3,MTBP,H4C6,KNTC1,CENPQ,H4C13,H4C5,JARID2,TRAPPC12,H2AC4	GO:0071459	protein localization to chromosome, centromeric region	4.812008776214973e-38	18/36	CTCF,H4C2,SPDL1,AURKB,KNTC1,H2AC4,RCC2,BUB1B,H4C3,IK,H2BC11,H2AC8,H4C13,H4C5,JARID2,CDK1,CHAMP1,ZWILCH	GO:0032480	negative regulation of type I interferon production	0.1075093947588199	3/43	ILRUN,XAF1,UFD1
GO:0072734	CASP6 CASP3 SLC34A1 CASP7	4	cellular response to staurosporine	CASP6 CASP3 TAF13 GPR34	ARHGAP10 GJA1 FUCA2 NEK7	GO:0072734	cellular response to staurosporine	1.338029787817935e-13	4/4	SLC34A1,CASP7,CASP6,CASP3	GO:0072734	cellular response to staurosporine	0.0001016110817092	2/4	CASP6,CASP3	GO:0060004	reflex	0.0778121231343128	1/22	GJA1
