,GO,Genes,Gene_Count,Term_Description
0,GO:0070531,BABAM2 BRCA1 BABAM1 BRCC3 UIMC1 BARD1 MPND ABRAXAS1,8,BRCA1-A complex
1,GO:1905368,SPG7 SPCS2 CFH RAD23A PSMB1 CRADD PSMD5 UCHL5 TAF6 COLEC11 TADA3 F7 TADA2A AFG3L2 PSME1 PSMD11 ATXN7 PSMA6 TAF10 PSMD7 TAF9 PIDD1 TAF5L PSMD12 PSMB3 PSMD1 ZFAND2A UBQLN1 PIGS PSMA1 ADRM1 PIGK SPCS1 ZFAND2B SUPT7L HTRA2 PSMD6 COLEC10 PSMB5 CAPNS1 PSMA2 PSMF1 GPAA1 USP22 SF3B3 PRICKLE1 PAAF1 PIGU PSMB11 PSMD4 THBD PIGT KAT2B SUPT20HL2 PSMA4 HSPB1 FCN3 KAT2A TADA1 UBE3A VCP CAPN2 SUPT3H PSMA7 UBR1 PSMB10 ECPAS PSMB4 CAPN1 PSMD9 TRRAP PSMD2 PSMB9 SGF29 UBQLN4 PSME3 PSMC6 CASP9 TAF6L PSMC5 CAPNS2 PSMC4 TADA2B SF3B5 PSMC3 CASP2 PSMB2 PLAU PSMA8 USP14 PSMD13 PSMB8 PSMD8 PSMC2 PLAUR SPCS3 PSMC1 FCN1 SEM1 PSMD10 TAF12 MBL2 SUPT20H FCN2 TXNL1 PSME4 FAP RAD23B PSMD3 PSMB7 UBE3C PSMA3 ENY2 PSMB6 SEC11A PSMA5 PSMD14 SEC11C PSME2 F3,120,peptidase complex
2,GO:1902501,VPS41 VPS39,2,lysosomal HOPS complex
3,GO:0042589,SLC30A2 SLC9A4 CLCA1 SCAMP1 CUZD1 DMBT1 SYCN TMED10 PNLIPRP2 ZG16 VAMP2 VAMP8 TMED2 STX3 ANXA4 RAB27B GP2,17,zymogen granule membrane
4,GO:0032156,MAPK6 TMEM250 SEPTIN7 SEPTIN8 SEPTIN6 SEPTIN2 SEPTIN12 SEPTIN5 SEPTIN9 SEPTIN1 SEPTIN4 SEPTIN3 SEPTIN14 SEPTIN10 SEPTIN11 MAPKAPK5,16,septin cytoskeleton
5,GO:0061689,SIPA1L3 ILDR1 MARVELD2 LSR,4,tricellular tight junction
6,GO:0070876,INIP NABP2 INTS3 NABP1,4,SOSS complex
7,GO:1990904,GRSF1 SRSF1 RPL26L1 NPM1 RPL22L1 MRPL36 LSM1 MRPL39 MRPL4 RHEB NAA38 RBM14 RBMXL1 MRPS17 MAK16 SNRPB ELAVL1 CCDC12 SF3A2 ZNHIT3 UTP18 ZNF830 MDN1 NOC4L DDX41 SNRNP25 EIF3F RO60 DHX35 NUFIP1 ZCCHC8 PPAN-P2RY11 LARP1 FCF1 GAPDH SRA1 HNRNPA1L2 SREK1 TNFAIP8L2-SCNM1 DAZL ZNF622 RPL39 LSM7 EIF1B PIH1D2 RBM12 RNF113A RPL10 PLRG1 MRPS31 HNRNPCL1 IQGAP1 ELAVL4 RNF135 PRPF18 DHX37 HEATR1 HNRNPCL2 RBM45 PRPF6 NFATC2 SNRPG L1TD1 RBM3 RPS3 RPL31 PNO1 HSPA1A RPL30 SSB PRPF8 SNRNP70 JAKMIP1 MRPL15 RPL22 WDR46 KHDC4 RBMX2 EIF3A RPL38 HEXIM1 LSM6 MAGOH U2AF2 ZFP36L2 LSM5 U2AF1 MRPS2 RALY MRPL18 PRPF31 PTCD3 RPL28 AKAP8L HNRNPA3 PPWD1 FRG1 MRPL24 DRG1 SRP72 DCP2 NCBP1 MRPS25 TOP2A MRPS18B RPS26 NUFIP2 CPEB1 ATXN2 XPO5 HSD17B10 RPS11 RPL15 TRIM21 ZRSR2 CELF5 KRR1 RBM8A SNRNP27 WDR83 PABPC4 CBX5 TBL3 GEMIN2 SF3B5 JRK ACTB PTGES3 RPS3A PRP4K PCBP4 ZNF827 MRPL2 RBM28 MYH10 RPL6 WAC NAA30 SND1 MRPL19 CD2BP2 LSM3 RPS19 STAU1 HNRNPA0 MRPS33 SECISBP2 SNRNP200 ELAVL3 PKP3 MRPS27 RRP7A AQR GNL3L TFIP11 RPF1 LRPPRC MRPS35 NHP2 C9orf78 EIF2A EIF3L RPL10L HNRNPUL1 RPS9 UTP6 EIF3H NUP98 DNTTIP2 G3BP1 JMJD6 ALYREF NOL10 RPS5 RPL12 SRFBP1 AGO3 IMP3 DIS3L2 HSF1 RIGI GAR1 ADAR DHX8 UTP11 AURKAIP1 SCNM1 XRCC5 RPL24 IGF2BP1 HNRNPA1 SLX9 MRPL23 RPL5 CPEB2 RRP36 SRP14 RPSA RBM48 PRPF19 RPL27 EIF4G1 MRPL58 RPS29 EFTUD2 PSMA6 LIMD1 EIF3K EIF2D CDC5L RPS18 TAF9 SRSF2 PRPF38A EMG1 MRPS34 RPL32 DHX38 IK PATL2 PSMA1 MVP ZC3H14 LSM4 MRPS6 NAA35 RPS4X PPP1R8 RPS19BP1 ZCCHC17 DHX16 MRPL53 PRKDC MCTS1 EIF3M PKP2 UTP14A PRPF40B RPP21 ARMC7 TRA2B DIMT1 MRPL28 NSUN4 MRPL13 RPL19 LUC7L3 ACD RPL17 BYSL RPS28 HNRNPM SECISBP2L SNIP1 SF3B2 SRRM2 MRPL52 SMNDC1 RPL29 CELF4 MRPL30 YBX1 ACTN4 MKRN3 CELF2 ZNHIT6 ESRP2 NOP10 MRPL12 SRRM1 ELAVL2 DDX39B HNRNPR TRA2A HNRNPH2 SNRPA1 MRPL27 PES1 LSM2 RPP40 EEF2 MCRS1 UTP4 RPS7 MRPL43 HNRNPH1 FAU FBL CWC15 RBMS3 MRPL10 PARP4 SNRNP35 DHX15 YJU2B MRPL57 PABPC1 SNRPF PABPC3 RBM12B SMU1 DQX1 RPL7L1 PPAN RUVBL1 RPL36A VIM RPL27A DKC1 TXNL4B LSM11 PHAX PHF5A NOP56 API5 RPL7A RPL26 SF3B6 LSM10 SF3B4 WDR74 UNK RPL37A RPP25 TRMT10C NVL PWP2 UTP3 MRPS9 CALR MRPS30 IMPACT MRPS23 MRPL42 PNN RPL11 DAP3 EIF1 SNRPD2 LIN28A MRPL41 EIF3I DDX6 RBMY1A1 UPF1 RPL39L GADD45GIP1 HTATSF1 IVNS1ABP MRPS22 RBMY1J SF3A3 SNRPA LAS1L EXOSC10 TTF2 PPIL1 STAU2 RPS27A UTP20 RBM14-RBM4 RBMS2 PUF60 CELF6 RBMY1F CRIPT MRPS18A MRPL38 RPP30 RPL3L MRPL40 RPL3 EIF3B RBMY1E XPO1 DDX23 RACK1 ESRP1 ZC3H18 SLIRP RRP1 EPRS1 SF3A1 EIF3G MRPL47 RPL37 LARP6 RPL23A EEFSEC XAB2 RPLP1 WDR36 MRPS18C ISY1-RAB43 UTP14C DDX3X LRRK2 RBMY1D ARFGEF1 HNRNPL MRPL44 MRPL55 SRP54 RPS24 FXR2 SNRPD3 RIOK2 MRPL49 MRPL48 RPL14 PCBP3 ARVCF C1orf131 CELF3 BCAS2 MRPS26 RPS27L TPTEP2-CSNK1E MRPL20 NOC2L LSM14A NOL7 MRPS28 EIF4H TIA1 DYRK2 MRPS11 NSUN3 NAT10 BUD13 AGO1 RPS12 MRPL37 APOBEC3F LSM8 RPS27 SMG7 RPL8 AGO4 SRP19 UTP15 RBMXL3 RPS4Y2 MRPL46 DDX46 TERT PABPC1L2B HNRNPAB MRPL1 FTSJ3 MRPL21 UBA52 CASC3 MRPL34 SRP9 TSR1 RPS10 MPV17L2 RRP9 EIF4E HNRNPA2B1 RPS14 WDR43 SRRT TEP1 SMG6 RPS16 RPLP0 IGHMBP2 MTREX RNF113B PRPF3 WDR75 RIOK1 RPL18A NSRP1 TOP2B NOB1 RRP1B ZFP36 MRPS10 SART3 GTF3C1 POP4 AATF PRPF40A SNRNP40 RPL10A TGS1 HNRNPF MRPS5 RPS21 GCFC2 RPL23 EFL1 RUVBL2 CRNKL1 SNRPC RPL13A MPHOSPH10 FMR1 CDC40 RPL41 HNRNPH3 NGDN RPL34 RPS6KL1 RBM17 NOP14 SLU7 SUGP1 MRPL3 CWF19L1 YJU2 MRPS14 RSL1D1 SNRPD1 PNPT1 RRS1 SNRNP48 RPS15A ISY1 PRPF39 MRPS7 RBMS1 CPSF3 POP5 SLBP MRPL54 MFAP1 USP39 HNRNPU RPL36 SNRPB2 TSSC4 PABPC1L2A MRPS16 SYF2 HSPA8 RPS6 PABPN1 RPL35 RPL13 RBM22 PDCD7 PTBP2 SNRPE MRPS24 DICER1 MRPL51 TXNL4A PPIH LSM14B RPS2 G3BP2 KRI1 UTP23 MRPS12 MTERF4 ZMAT2 EIF1AX SNU13 EIF3C DHX9 SNW1 MRPL35 WDR12 TARBP2 EIF3E TNRC6A DDX1 CWC25 PPIL2 RPS8 U2AF1L4 PPIE MRPS21 NUP62 TDRD1 HNRNPK WRAP53 WBP4 ERG EIF2AK4 SF1 MRPL22 PABPC5 ERI1 CPEB4 RPL18 GCN1 SF3B3 RPL7 NOP9 LTV1 RPL4 RPL36AL NR0B1 RPS15 SNRPN LARP4B LUC7L APOBEC3G RPS17 HNRNPD ILF2 BMS1 RRP15 GPATCH1 CTNNBL1 RPS13 MRPL11 CWF19L2 NOP58 RPL35A MAGOHB POP1 POP7 UTP25 ILF3 CSNK1E PCBP1 RBM44 CPEB3 LOC102724594 SF3B1 RPS25 SYNCRIP HNRNPC RBM41 PRPF4 CLNS1A PRKRIP1 BUD31 ESS2 MRPL33 SART1 MRPL50 EIF3CL FXR1 PPIL3 MRPL32 AKAP17A EIF4A3 RBMX RBMY1B LGALS3 BOP1 NOL6 DDX17 EBNA1BP2 MRTO4 RBM42 SUZ12 ZFP36L1 CWC27 ZCRB1 LARP4 DYRK1A MRPL14 RPP38 NSA2 MRPL16 DNAJC17 MRPL17 SMG5 CPSF6 RPS23 PRKRA BRCA1 RBM5 LUC7L2 DHX29 RPL9 RPS4Y1 PCBP2 DAZAP1 CELF1 NIP7 PIH1D1 PKP1 CACTIN EIF3J NCL MRPS15 RBMXL2 IMP4 GPKOW DHX32 RPP25L AAR2 HSPA1B AGO2 RPP14 PA2G4 MRPL9 LARP7 EIF3D DCAF13 NAF1 CIRBP PRPF38B RPL21 RNPC3 RCL1 RIOK3 TEFM PDCD11 SRP68 DDX5 ZMAT5 HNRNPLL PRORP CHCHD1 GEMIN4 MEPCE CWC22 WDR3 RPS20 EIF6 EIF2S1 RPLP2,722,ribonucleoprotein complex
8,GO:0034456,RRP7A NOL6,2,UTP-C complex
9,GO:0017177,PRKCSH GANAB,2,glucosidase II complex
