child	parent
GO:0008152	GO:0008150
GO:0009987	GO:0008150
GO:0048519	GO:0008150
GO:0050789	GO:0008150
GO:0065007	GO:0008150
GO:0044237	GO:0009987
GO:0048523	GO:0009987
GO:0050794	GO:0009987
GO:0010896	GO:0031329
GO:0031330	GO:0031329
GO:0031323	GO:0044237
GO:0031324	GO:0044237
GO:0044248	GO:0044237
GO:0044255	GO:0044237
GO:0019222	GO:0050789
GO:0048519	GO:0050789
GO:0050794	GO:0050789
GO:0009892	GO:0048519
GO:0048523	GO:0048519
GO:0031323	GO:0050794
GO:0048523	GO:0050794
GO:0006629	GO:0044238
GO:0080090	GO:0044238
GO:0006629	GO:0071704
GO:1901575	GO:0071704
GO:0019216	GO:0080090
GO:0006638	GO:0044255
GO:0044242	GO:0044255
GO:0046486	GO:0044255
GO:0006639	GO:0006638
GO:0046464	GO:0006638
GO:0006639	GO:0046486
GO:0046503	GO:0046486
GO:0006641	GO:0006639
GO:0046464	GO:0006639
GO:0019433	GO:0006641
GO:0090207	GO:0006641
GO:0090209	GO:0006641
GO:0044242	GO:0016042
GO:0050994	GO:0016042
GO:0050995	GO:0016042
GO:0016042	GO:1901575
GO:0009056	GO:0008152
GO:0009892	GO:0008152
GO:0019222	GO:0008152
GO:0044237	GO:0008152
GO:0044238	GO:0008152
GO:0071704	GO:0008152
GO:0050789	GO:0065007
GO:0031329	GO:0044248
GO:0031330	GO:0044248
GO:0044242	GO:0044248
GO:0031324	GO:0048523
GO:0016042	GO:0006629
GO:0019216	GO:0006629
GO:0044255	GO:0006629
GO:0045833	GO:0006629
GO:0046464	GO:0044242
GO:0046503	GO:0044242
GO:0009892	GO:0019222
GO:0009894	GO:0019222
GO:0031323	GO:0019222
GO:0080090	GO:0019222
GO:0009895	GO:0009892
GO:0031324	GO:0009892
GO:0045833	GO:0009892
GO:0009894	GO:0009056
GO:0009895	GO:0009056
GO:0044248	GO:0009056
GO:1901575	GO:0009056
GO:0009895	GO:0009894
GO:0031329	GO:0009894
GO:0050994	GO:0009894
GO:0010897	GO:0031330
GO:0031330	GO:0031324
GO:0090209	GO:0031324
GO:0031324	GO:0031323
GO:0031329	GO:0031323
GO:0090207	GO:0031323
GO:0010896	GO:0090207
GO:0090209	GO:0090207
GO:0010897	GO:0090209
GO:0010896	GO:0019433
GO:0010897	GO:0019433
GO:0010896	GO:0050994
GO:0050995	GO:0050994
GO:0010897	GO:0010896
GO:0010897	GO:0050995
GO:0045833	GO:0019216
GO:0050994	GO:0019216
GO:0090207	GO:0019216
GO:0019433	GO:0046464
GO:0031330	GO:0009895
GO:0050995	GO:0009895
GO:0050995	GO:0045833
GO:0090209	GO:0045833
GO:0046464	GO:0046503
