GO	Genes	Gene_Count	Term_Description	gpt_4_default Name	gpt_4_default Analysis	gpt_4_default Score	gpt_4_default Score Bin	LLM_name_GO_term_sim	sim_rank	true_GO_term_sim_percentile	random_GO_name	random_go_llm_sim	random_sim_rank	random_sim_percentile	top_3_hits	top_3_sim
GO:0098708	SLC2A1 SLC2A10 SLC5A1 SLC5A2 SLC2A3	5	glucose import across plasma membrane	Monosaccharide Transport System	"1. SLC2A1, also known as GLUT1, is a glucose transporter found in almost all mammalian cells. It is responsible for the basal uptake of glucose, which is critical for maintaining the basic energy requirements of cells. GLUT1 is particularly important in the blood-brain barrier, erythrocytes, and endothelial cells, where it facilitates the transport of glucose across the plasma membrane.

2. SLC2A3, or GLUT3, is another glucose transporter with a high affinity for glucose. It is predominantly expressed in neurons, where it ensures efficient glucose uptake to meet the high energy demands of the brain. GLUT3 has a higher affinity for glucose than GLUT1 and is crucial for maintaining neuronal function.

3. SLC2A10, known as GLUT10, is involved in the transport of glucose and dehydroascorbic acid (oxidized vitamin C) across membranes. It is expressed in various tissues, including the liver and pancreas, and is implicated in maintaining intracellular antioxidant levels and glucose homeostasis.

4. SLC5A1 and SLC5A2 are sodium-dependent glucose transporters, also known as SGLT1 and SGLT2, respectively. SGLT1 is primarily found in the small intestine and is responsible for the absorption of glucose and galactose from the gut into enterocytes. It is also expressed in the heart, where it contributes to glucose uptake. SGLT2 is mainly expressed in the kidney and is responsible for the reabsorption of glucose from the glomerular filtrate back into the bloodstream, thus playing a key role in the regulation of blood glucose levels.

To summarize, the proteins in this set are primarily involved in the transport of monosaccharides across cell membranes in various tissues. They ensure the uptake and distribution of glucose and other sugars, which are essential for cellular metabolism and energy production. The system of these transporters is critical for maintaining glucose homeostasis in the body, and their coordinated function is essential for the proper absorption, distribution, and utilization of sugars. The high affinity and tissue-specific expression of these transporters reflect a tightly regulated system that adapts to the varying energy demands of different cell types."	0.92	High Confidence	0.6309742	17	0.9985765720505736	water-soluble vitamin catabolic process	0.25002772	6474	0.4579251444360713	monosaccharide transmembrane transport|pentose transmembrane transport|hexose transmembrane transport	0.8701237|0.72137755|0.7161299
GO:0006020	ISYNA1 ITPKA MECP2 IMPA1 IMPA2 PPIP5K2 MIOX PPIP5K1	8	inositol metabolic process	Inositol Phosphate Metabolism and Signaling	"1. ISYNA1 (Inositol-3-phosphate synthase 1) is a key enzyme in the de novo synthesis of inositol, catalyzing the conversion of glucose-6-phosphate to inositol-3-phosphate. Inositol serves as a precursor for the phosphatidylinositol (PI) cycle, a critical component of cell membrane signaling.

2. ITPKA (Inositol-trisphosphate 3-kinase A) phosphorylates inositol trisphosphate (IP3) to inositol 1,4,5-trisphosphate (IP4), modulating the levels of IP3, which is a second messenger involved in calcium release within cells.

3. MECP2 (Methyl CpG binding protein 2) is traditionally known for its role in DNA methylation and chromatin remodeling, but it also influences the expression of genes involved in the PI cycle and has been implicated in the regulation of neural cell signaling pathways.

4. IMPA1 and IMPA2 (Inositol monophosphatase 1 and 2) are enzymes that catalyze the hydrolysis of inositol monophosphate to inositol, playing a role in the phosphatidylinositol signaling pathway by recycling inositol.

5. PPIP5K1 and PPIP5K2 (Diphosphoinositol pentakisphosphate kinase 1 and 2) are enzymes that synthesize inositol pyrophosphates such as IP7 and IP8 from IP6. These inositol pyrophosphates are involved in a variety of cellular processes, including energy metabolism, apoptosis, and DNA repair.

6. MIOX (Myo-inositol oxygenase) is involved in the catabolism of inositol, converting myo-inositol to D-glucuronic acid, which is part of the glucuronate pathway and is linked to the regulation of cellular osmolarity and detoxification.

To summarize, the proteins in this set are primarily involved in the metabolism and signaling of inositol phosphates. They contribute to the synthesis, modification, and breakdown of inositol and its phosphate derivatives, which are crucial for various cellular signaling pathways, particularly in the nervous system. The interplay between these enzymes ensures the balance of inositol phosphates, which is essential for proper cellular function and signaling."	0.89	High Confidence	0.77522314	3	0.9997488068324542	sex determination	0.2891954	7022	0.4120405258310307	inositol phosphate metabolic process|inositol trisphosphate metabolic process|inositol metabolic process	0.83693695|0.80918986|0.77522314
GO:0046877	TIFAB PPP3CA OPRK1 NEUROG1 AQP1 FGF10 DCANP1	7	regulation of saliva secretion	Neurogenesis and Cellular Signaling in Development	"1. NEUROG1 (Neurogenin 1) is a basic helix-loop-helix transcription factor that is critical for neurogenesis. It is involved in the determination of neuronal precursors in the central and peripheral nervous systems and plays a role in the differentiation of various types of neurons.

2. FGF10 (Fibroblast Growth Factor 10) is a member of the fibroblast growth factor family and has a broad activity spectrum. It is implicated in the development of the limb and lung and is also known to have functions in the development of other organs and tissues, including the brain. FGF10 signaling is essential for the proliferation and maintenance of progenitor cells in various developmental contexts.

3. TIFAB (TRAF Interacting Protein with Forkhead Associated Domain B) is less well-characterized but is known to interact with TRAF proteins, which are part of signaling pathways that can lead to the activation of NF-kB and MAPKs, important for cell survival, proliferation, and differentiation.

4. PPP3CA (Protein Phosphatase 3 Catalytic Subunit Alpha) is a subunit of calcineurin, a protein phosphatase involved in a variety of cellular processes including T-cell activation and may play roles in neuronal development and function.

5. OPRK1 (Opioid Receptor Kappa 1) is a G protein-coupled receptor that binds to dynorphins. Its activation can lead to a variety of cellular responses including changes in ion channel conductivity and inhibition of adenylyl cyclase. While primarily known for its role in pain perception, it may also be involved in modulating neuronal development and plasticity.

6. AQP1 (Aquaporin 1) is a water channel protein that facilitates rapid movement of water across cell membranes. It is involved in maintaining water homeostasis in various tissues and may play a role in cell migration and proliferation during development.

7. DCANP1 (Dendritic Cell-Associated Nuclear Protein) is not well-characterized, but its association with dendritic cells suggests a potential role in immune signaling or cellular communication.

To summarize, the proteins in this set are involved in various aspects of neurogenesis and cellular signaling during development. NEUROG1 and FGF10 are directly implicated in the development of the nervous system, while TIFAB, PPP3CA, and OPRK1 are part of signaling pathways that can influence neuronal differentiation and function. AQP1 may support the cellular processes underlying development, and DCANP1, although not well-characterized, could be involved in cellular communication. The interplay between these proteins suggests a system that integrates developmental signaling with neurogenesis, although the exact mechanisms and interactions may require further elucidation."	0.85	Medium Confidence	0.26767293	8493	0.2888721426777192	regulation of post-transcriptional gene silencing by regulatory ncRNA	0.30222076	7084	0.4068492003684166	neuron development|neurogenesis|nervous system development	0.8097956|0.80006796|0.78565
GO:0046294	ESD ADH4 ADH5	3	formaldehyde catabolic process	Alcohol Metabolism	"1. ESD, also known as esterase D, is an enzyme that hydrolyzes esters and is involved in the detoxification of compounds within the cell. While its specific role in alcohol metabolism is not well-established, it may contribute to the breakdown of alcohol-derived esters or other related compounds.

2. ADH4 and ADH5 are members of the alcohol dehydrogenase family, which catalyze the oxidation of alcohols to aldehydes and ketones. ADH4, also known as alcohol dehydrogenase class II, has a high affinity for ethanol and other medium-chain primary alcohols. It is involved in the first step of ethanol metabolism in the liver, converting ethanol to acetaldehyde.

3. ADH5, also known as alcohol dehydrogenase class III, is expressed in many tissues and has a broad substrate specificity, including ethanol. It plays a role in the metabolism of various alcohols and in the detoxification pathway for formaldehyde, a toxic metabolite of alcohol metabolism.

To summarize, the proteins ESD, ADH4, and ADH5 are involved in the breakdown and detoxification of alcohol and its metabolites. ADH4 and ADH5, in particular, are directly implicated in the conversion of ethanol to acetaldehyde, a critical step in alcohol metabolism. While ESD's role is less direct, its general function in ester hydrolysis may support the detoxification processes associated with alcohol metabolism. The majority of the genes in this system are directly involved in the metabolism of alcohol, hence the high confidence score."	0.85	Medium Confidence	0.512578	280	0.976555304362388	chylomicron remnant clearance	0.28755122	4293	0.640542577241899	alcohol metabolic process|ethanol metabolic process|primary alcohol metabolic process	0.98304045|0.8850432|0.8688279
GO:0038094	PLPP4 LYN FCGR3A PRKCE APPL1 PRKCD FCGR1A FYN FCER1G VAV1 CLEC4E YES1 MYO1G CD247 PLA2G6 LIMK1 VAV2 PTK2 HCK APPL2 ABL1 VAV3 PLD2 FGR LCK SYK FCGR2B SRC CLEC4D PAK1	30	Fc-gamma receptor signaling pathway	Immunoreceptor Signaling and Phagocytosis	"1. The Src family kinases (SFKs), including LYN, FYN, HCK, FGR, LCK, YES1, and SRC, are non-receptor tyrosine kinases that play pivotal roles in the initiation of immunoreceptor signaling. They are involved in the activation of various immune cells, including B cells, T cells, and myeloid cells, by phosphorylating immunoreceptor tyrosine-based activation motifs (ITAMs) on the cytoplasmic domains of cell surface receptors such as CD247 (part of the T-cell receptor complex) and FCER1G (associated with Fc receptors).

2. The Syk family kinases, particularly SYK itself, are critical for downstream signaling following SFK activation. SYK is activated upon binding to phosphorylated ITAMs and propagates the signal to various adaptor proteins and enzymes, leading to cellular responses such as phagocytosis, degranulation, and cytokine production.

3. Adaptor proteins such as VAV1, VAV2, and VAV3 are guanine nucleotide exchange factors (GEFs) for Rho family GTPases. They link receptor engagement to actin cytoskeletal rearrangements, which are essential for processes like phagocytosis and cell migration.

4. The protein kinases PRKCE (Protein Kinase C Epsilon) and PRKCD (Protein Kinase C Delta) are involved in the modulation of immune responses. They can be activated by diacylglycerol (DAG) produced during receptor signaling and contribute to the regulation of cell activation, differentiation, and apoptosis.

5. Phospholipases such as PLA2G6 and PLD2 are enzymes that hydrolyze phospholipids to generate second messengers, which are integral to the transduction of signals from the cell surface to the interior.

6. The Fc gamma receptors, including FCGR1A, FCGR2B, and FCGR3A, are important for the phagocytosis of opsonized pathogens and immune complex clearance. They also play roles in antibody-dependent cellular cytotoxicity (ADCC) and the release of inflammatory mediators.

7. C-type lectin domain family 4 members, CLEC4E and CLEC4D, are pattern recognition receptors that can bind to pathogen-associated molecular patterns (PAMPs) and contribute to innate immune responses.

8. Adaptor proteins APPL1 and APPL2 interact with a variety of receptor tyrosine kinases and may modulate signaling pathways involved in cell proliferation and survival.

9. The cytoskeletal proteins, such as MYO1G, LIMK1, and PAK1, are involved in actin filament dynamics and are important for cell movement and the phagocytic uptake of pathogens.

10. PTK2, also known as Focal Adhesion Kinase (FAK), is involved in signal transduction pathways that regulate cell adhesion, growth, and survival.

11. ABL1 is a non-receptor tyrosine kinase that can regulate cytoskeletal remodeling, cell migration, and adhesion.

To summarize, the proteins in this system are predominantly involved in the signaling pathways that regulate immune cell activation, particularly in response to antigen recognition and engagement of immunoreceptors. This includes the initiation of signaling cascades by SFKs, signal amplification and diversification by SYK and PRKC isoforms, cytoskeletal rearrangements mediated by VAV proteins and kinases like LIMK1 and PAK1, and the execution of effector functions such as phagocytosis facilitated by Fc receptors and C-type lectins. The interplay between these proteins ensures a coordinated immune response to pathogens and the maintenance of immune homeostasis."	0.95	High Confidence	0.701044	10	0.999162689441514	equilibrioception	0.38853073	2104	0.8238298584945156	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis|immune response-inhibiting signal transduction|immune response-inhibiting cell surface receptor signaling pathway	0.8735359|0.8078021|0.78211987
GO:0009168	AMPD2 NUDT2 ADSS2 ADK PFAS ADA IMPDH2 IMPDH1 PPAT APRT AMPD1 ADSS1 GART ADSL AMPD3 HPRT1 GMPS ATIC PAICS	19	purine ribonucleoside monophosphate biosynthetic process	Purine Metabolism and Homeostasis	"1. AMPD1, AMPD2, and AMPD3 are isoforms of adenosine monophosphate deaminase, which catalyze the deamination of AMP to IMP in skeletal muscle, liver, and erythrocytes, respectively. This reaction is a critical step in the purine nucleotide cycle, which is important for the regulation of energy metabolism and nucleotide synthesis.

2. ADSS1 and ADSS2 (adenylosuccinate synthase) are involved in the synthesis of AMP from IMP and aspartate, which is an essential step in the purine nucleotide synthesis pathway. This reaction is part of the de novo and salvage pathways of purine synthesis.

3. ADK (adenosine kinase) catalyzes the phosphorylation of adenosine to AMP, which is a key step in the salvage pathway of purine nucleotides, allowing the reuse of adenosine derived from cellular metabolism.

4. ADA (adenosine deaminase) is responsible for the deamination of adenosine to inosine, a reaction that plays a crucial role in purine metabolism and in maintaining the balance of adenosine and deoxyadenosine levels in cells and tissues.

5. IMPDH1 and IMPDH2 (inosine-5'-monophosphate dehydrogenase) are rate-limiting enzymes in the de novo synthesis of guanine nucleotides, converting IMP to xanthosine monophosphate (XMP).

6. GART (phosphoribosylglycinamide formyltransferase), PAICS (phosphoribosylaminoimidazole carboxylase), and ATIC (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) are multifunctional enzymes involved in the de novo synthesis of purine nucleotides.

7. PPAT (phosphoribosyl pyrophosphate amidotransferase) catalyzes the first committed step in the de novo synthesis of purine nucleotides, converting phosphoribosyl pyrophosphate (PRPP) to phosphoribosylamine.

8. APRT (adenine phosphoribosyltransferase) and HPRT1 (hypoxanthine-guanine phosphoribosyltransferase) are involved in the salvage pathways of purine nucleotides, converting adenine and hypoxanthine/guanine to their respective monophosphate forms, AMP and GMP.

9. ADSL (adenylosuccinate lyase) is involved in the conversion of succinyladenosine monophosphate to AMP and fumarate, and also in the conversion of succinylaminoimidazole carboxamide ribotide to aminoimidazole carboxamide ribotide in de novo purine synthesis.

10. GMPS (guanine monophosphate synthase) catalyzes the amination of XMP to GMP, a key step in guanine nucleotide synthesis.

11. NUDT2 (nucleoside diphosphate linked moiety X-type motif 2) hydrolyzes diadenosine polyphosphates and plays a role in the regulation of intracellular concentrations of adenine nucleotides.

12. PFAS (phosphoribosylformylglycinamidine synthase) is involved in the fourth step of the purine biosynthetic pathway.

To summarize, the proteins in this system are intricately involved in the synthesis, recycling, and regulation of purine nucleotides, which are fundamental to cellular energy transfer, signaling, and the synthesis of DNA and RNA. The system reflects a highly coordinated network of enzymes that contribute to both the de novo and salvage pathways of purine metabolism, ensuring the balance and homeostasis of nucleotide pools within the cell."	0.98	High Confidence	0.60953057	61	0.9948924055932346	positive regulation of phospholipase A2 activity	0.13872212	10679	0.1058360545926484	purine-containing compound metabolic process|purine nucleotide metabolic process|purine nucleoside metabolic process	0.8513577|0.838051|0.77005154
GO:0046320	ABCB11 PRKAG2 KLHL25 ACADL LONP2 ACADVL TWIST1 IRS1 SOX9 AKT2 NR4A3 FABP3 IRS2 PDK4 ACACB FMO4 FMO2 ABCD1 CPT1A ABCD2 MLYCD AKT1 APPL2 TYSND1 MFSD2A SIRT4 PPARA CNR1 FABP1 PLIN5 ETFBKMT PPARGC1A FMO1	33	regulation of fatty acid oxidation	Fatty Acid Metabolism and Energy Homeostasis	"1. Several proteins in this system, such as ACADL (acyl-CoA dehydrogenase, long-chain), ACADVL (acyl-CoA dehydrogenase, very long-chain), and CPT1A (carnitine palmitoyltransferase 1A), are directly involved in the beta-oxidation of fatty acids. These enzymes catalyze crucial steps in the mitochondrial breakdown of long-chain fatty acids, providing acetyl-CoA for the citric acid cycle and ATP production.

2. Proteins like ABCB11 (bile salt export pump), ABCD1 (ATP-binding cassette sub-family D member 1), and ABCD2 (ATP-binding cassette sub-family D member 2) are part of the ATP-binding cassette (ABC) transporter family. They are involved in the transport of various molecules across extra- and intracellular membranes, including the transport of fatty acids and their derivatives.

3. PPARA (peroxisome proliferator-activated receptor alpha) and PPARGC1A (PPARG coactivator 1 alpha) are key regulators of lipid metabolism and energy homeostasis. PPARA is a nuclear receptor that regulates the expression of genes involved in fatty acid oxidation, while PPARGC1A is a transcriptional coactivator that modulates the activity of various nuclear receptors, including PPARA, and is involved in the regulation of energy metabolism.

4. AKT1 and AKT2 (RAC-alpha serine/threonine-protein kinase and RAC-beta serine/threonine-protein kinase, respectively) and IRS1 and IRS2 (insulin receptor substrate 1 and 2) are part of the insulin signaling pathway. They play a significant role in glucose homeostasis, lipid metabolism, and cell growth. AKT1 and AKT2 are kinases that mediate insulin's effects on glucose uptake and glycogen synthesis, while IRS1 and IRS2 are adaptor proteins that transmit signals from the insulin receptor to downstream effectors.

5. Proteins such as SIRT4 (sirtuin 4) and PRKAG2 (protein kinase AMP-activated non-catalytic subunit gamma 2) are involved in the regulation of mitochondrial function and energy sensing. SIRT4 has ADP-ribosyltransferase and deacetylase activity and is involved in the regulation of amino acid metabolism and fatty acid oxidation, while PRKAG2 is a component of the AMP-activated protein kinase (AMPK) complex, which is a key energy sensor that maintains energy homeostasis.

6. Fatty acid-binding proteins (FABPs), such as FABP1 (liver fatty acid-binding protein) and FABP3 (muscle fatty acid-binding protein), are involved in the intracellular transport of fatty acids. They play a role in fatty acid uptake, transport, and metabolism.

7. Additional proteins like TWIST1 (twist-related protein 1) and SOX9 (SRY-box 9) are transcription factors with broader roles in development and differentiation but can also influence metabolic processes indirectly.

To summarize, the proteins in this system are predominantly involved in the metabolism of fatty acids and the regulation of energy homeostasis. They participate in the breakdown and transport of fatty acids, the transcriptional regulation of genes involved in lipid metabolism, and the signaling pathways that integrate metabolic responses to energy demands. The system reflects a complex network that ensures efficient energy production and utilization, adapting to the cellular and organismal energy status."	0.92	High Confidence	0.72016585	18	0.9984928409947248	forebrain neuron differentiation	0.33312246	2620	0.7806246336766307	fatty acid homeostasis|fatty acid metabolic process|regulation of fatty acid metabolic process	0.8884662|0.8408415|0.7969965
GO:1902897	CDH2 CRIPT ZMYND8	3	regulation of postsynaptic density protein 95 clustering	Regulation of Neuronal and Chromatin Architecture	"1. CDH2, also known as N-cadherin, is a classical cadherin from the cadherin superfamily. It is a calcium-dependent cell-cell adhesion glycoprotein comprised of five extracellular cadherin repeats, a transmembrane region, and a highly conserved cytoplasmic tail. CDH2 plays crucial roles in the establishment and function of specific cell-cell connections in the brain and heart. In the nervous system, it is involved in mechanisms that regulate dendritic spine morphogenesis, synaptic plasticity, and cognitive function.

2. CRIPT (Cysteine-rich PDZ-binding protein) interacts with the PDZ domains of proteins such as PSD-95 which are involved in anchoring membrane proteins to the cytoskeleton and are critical in the assembly and function of synapses in the central nervous system. CRIPT is thought to play a role in the molecular organization of synapses and in neuronal signal transduction.

3. ZMYND8 (Zinc MYND (Myeloid, Nervy, and DEAF-1)-type containing 8) is a protein that contains a MYND-type zinc finger, a domain involved in chromatin binding. ZMYND8 is implicated in transcriptional regulation by its association with chromatin remodeling complexes, and it has roles in DNA damage response, cell cycle regulation, and possibly neural differentiation or function.

The proteins in this system are involved in the regulation of neuronal architecture and synaptic function (CDH2 and CRIPT), as well as the broader regulation of chromatin structure and transcription (ZMYND8). The interplay between these proteins suggests a system that integrates cell adhesion and synaptic organization with gene expression and chromatin dynamics, which is essential for the proper development and function of the nervous system. The proteins collectively contribute to the structural and functional plasticity of neurons, which is a fundamental aspect of learning, memory, and neuronal development."	0.85	Medium Confidence	0.43916172	916	0.9233023528426694	interleukin-10 production	0.2580862	7388	0.3813949593904379	regulation of chromatin organization|chromatin organization|regulation of chromosome organization	0.82488865|0.7700866|0.7576752
GO:0060666	NRP1 PLXNA1 SEMA3C PLXND1	4	dichotomous subdivision of terminal units involved in salivary gland branching	Semaphorin-Neuropilin-Plexin Signaling in Angiogenesis and Neuronal Guidance	"1. NRP1, or Neuropilin-1, is a co-receptor for class 3 semaphorins and vascular endothelial growth factor (VEGF). It plays a crucial role in heart development, angiogenesis, and the formation of neuronal circuits. NRP1 mediates the attractive or repulsive cues in axonal guidance and neuronal cell migration, depending on its interaction with different ligands and co-receptors.

2. PLXNA1, Plexin-A1, is a receptor for class 3 semaphorins and forms a receptor complex with neuropilins. It is involved in various aspects of neural development, including axon guidance, neuronal migration, and cell differentiation. Plexin-A1 transduces signals from semaphorins to the cytoskeleton, affecting the dynamics of actin and microtubules, which is essential for the guidance of migrating neurons and growing axons.

3. SEMA3C, Semaphorin-3C, is a secreted protein that belongs to the class 3 semaphorins. It interacts with neuropilins and plexins to regulate axonal guidance and neuronal migration. SEMA3C also plays a role in heart morphogenesis and the development of the vascular system, where it influences endothelial cell migration and proliferation, contributing to angiogenesis.

4. PLXND1, Plexin-D1, is another member of the plexin family and serves as a receptor for certain class 3 semaphorins. It is implicated in the regulation of developmental and pathological angiogenesis, as well as in neuronal guidance. Plexin-D1 signaling affects endothelial cell behavior and vascular patterning, and it is also involved in the immune response by regulating the migration of dendritic cells.

To summarize, the proteins in this set are primarily involved in the semaphorin-neuropilin-plexin signaling pathway, which is critical for both angiogenesis and neuronal guidance. This signaling axis orchestrates the development of the nervous and vascular systems by mediating cell-cell communication that directs cell migration, differentiation, and proliferation. The interactions among these proteins facilitate the translation of extracellular cues into cellular responses, ensuring the proper formation and maintenance of complex biological structures and systems."	0.92	High Confidence	0.28870988	6151	0.4849702754751738	positive regulation of embryonic development	0.283858	6432	0.4614418487817131	semaphorin-plexin signaling pathway involved in axon guidance|semaphorin-plexin signaling pathway|regulation of semaphorin-plexin signaling pathway	0.89211786|0.86308706|0.79757637
GO:0042492	GPR18 PTPRC TCF7 LEF1 EGR3 SYK CCR9 SOX4 KLRC1 STAT5B SOX13 JAG2 NCKAP1L	13	gamma-delta T cell differentiation	Lymphocyte Differentiation and Immune Response Modulation	"1. GPR18, a G protein-coupled receptor, is implicated in the modulation of immune responses and may play a role in T-cell migration, which is crucial for the adaptive immune response.

2. PTPRC, also known as CD45, is a protein tyrosine phosphatase essential for T-cell and B-cell antigen receptor signaling. It acts as a regulator of signal transduction and is critical for the development and activation of lymphocytes.

3. TCF7 and LEF1 are members of the T-cell factor/lymphoid enhancer-binding factor family of transcription factors. They are involved in the regulation of T-cell development and are crucial for the commitment of progenitor cells to the T-cell lineage.

4. EGR3 is an early growth response gene that functions as a transcriptional regulator. It is involved in lymphocyte activation and plays a role in the development of the nervous and cardiovascular systems.

5. SYK is a non-receptor tyrosine kinase that is a key mediator of immune receptor signaling in both innate and adaptive immune cells. It is involved in the development and maturation of B cells and is essential for coupling activated immunoreceptors to downstream signaling pathways.

6. CCR9 is a chemokine receptor that is important for the homing of T cells to the intestine, which is a critical aspect of mucosal immunity.

7. SOX4 is a transcription factor that plays a role in the regulation of embryonic development and in the determination of the cell fate. It is also important for the development and differentiation of lymphocytes.

8. KLRC1, also known as NKG2A, is an inhibitory receptor expressed on natural killer (NK) cells and some T cells, and it plays a role in the regulation of immune responses.

9. STAT5B is a member of the signal transducer and activator of transcription family of transcription factors. It is critical for signaling in response to cytokines and growth factors and is important for T cell development and function.

10. SOX13 is another transcription factor that has been implicated in T-cell differentiation and may play a role in the development of autoimmune diseases.

11. JAG2 is a ligand for the Notch family of receptors. Notch signaling is important for T-cell development, and JAG2-Notch interactions are involved in the regulation of immune responses.

12. NCKAP1L is involved in the actin cytoskeletal reorganization and is important for the formation of immunological synapses, which are essential for T-cell activation and signaling.

To summarize, the proteins in this set are predominantly involved in the differentiation and function of lymphocytes, which are critical components of the adaptive immune system. They contribute to the development, activation, and modulation of immune responses, with roles spanning from signal transduction and transcriptional regulation to cell migration and synapse formation. The interplay between these proteins supports the dynamic and regulated nature of the immune system, ensuring proper development of immune cells and their response to pathogens and other stimuli."	0.92	High Confidence	0.6361346	33	0.9972368751569958	positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	0.24454167	9045	0.2426525998492841	regulation of lymphocyte differentiation|regulation of lymphocyte mediated immunity|lymphocyte differentiation	0.7950916|0.77856743|0.7669286
