GO,Genes,Gene_Count,Term_Description
GO:0070350,FGF10 FTO VSTM2A,3,regulation of white fat cell proliferation
GO:0051936,SLC6A12 SLC6A11 SLC6A1 SLC6A13,4,gamma-aminobutyric acid reuptake
GO:0070646,USP17L10 USP29 TNIP1 USP17L3 USP20 USP5 USP18 USP30 OTUD4 USP34 USP17L22 USP51 USP31 USP9X USP16 DESI2 USP42 ATXN3L USP17L20 USP17L4 JOSD1 USP50 BABAM2 USP17L27 PARK7 USP2 CYLD STAMBPL1 NOP53 COPS2 USP17L19 USP48 SENP3 ABRAXAS2 BRCC3 TANK SENP7 MINDY1 UCHL1 COPS7A USP27X USP37 USP14 SENP2 OTUD7A DESI1 USP35 USP12 YOD1 USP44 SENP8 ITCH UCHL5 OTUB1 USP17L8 BAP1 USP17L11 TOR1A USP17L13 USP4 PSMD14 USP17L7 VCPIP1 USP1 USP17L26 USP28 USP17L17 USP8 USPL1 USP17L30 OTUD7B USP9Y USP6 JOSD2 TRIM21 USP17L24 OTULIN USP17L21 USP36 COPS6 USP17L28 SENP6 OTUD6B OTUD3 USP46 COPS3 SENP1 USP17L2 UBXN1 USP45 OTULINL USP40 SHMT2 ZRANB1 USP26 USP17L12 COPS8 USP7 USP32 USP24 USP19 USP17L1 OTUB2 ATXN3 OTUD5 HINT1 USP17L5 USP10 ZC3H12A SENP5 UCHL3 USP17L29 USP47 COPS7B STAMBP USP49 VCP OTUD1 USP25 COPS4 USP15 COPS5 USP33 USP17L25 GPS1 MINDY2 OTUD6A USP38 SPATA2 TNFAIP3 EIF3F USP22 USP13 USP17L18 ABRAXAS1,135,protein modification by small protein removal
GO:0071318,P2RY2 P2RY4 CIB2 PTGS2 P2RX7 TRPM4 SSH1 TAF1 PDXP P2RX3 P2RY1 TOP2B RYR3 P2RY11 P2RY12 P2RX4 HSP90B1 TRPV1,18,cellular response to ATP
GO:0038183,ABCB11 ABCG5 CYP8B1 ABCG8 NR1H4 PRKAA1 CIDEB VDR CYP7A1 GPBAR1 SLC10A1,11,bile acid signaling pathway
GO:0001973,NECAB2 ADA ADORA3 ACP3 P2RY12 ADORA1 GNAI2 ADORA2B P2RY1 ADORA2A ADCY5,11,G protein-coupled adenosine receptor signaling pathway
GO:0051349,RAF1 NF1 ADORA3 EDNRA ADCYAP1 FSHR LINC02210-CRHR1 LGR5 RXFP1 NOS2 GUCA1ANB-GUCA1A FXN ISCU CRHR1 CAP1 AVPR2 FTMT LHCGR LGR4 STIM1 ORAI1 TSHR ADRB2 GLP1R ACR ADRB3 P2RY11 DRD1 CACNA1D NOS3 RXFP2 CACNA1C ADORA2B PARK7 CALCR TMIGD3 CAP2 GIPR NOS1 DRD5,40,positive regulation of lyase activity
GO:0009698,CYP2A7 UGT1A7 CYP2A13 UGT1A8 CYP2A6 CYP1A1 CYP2D6,7,phenylpropanoid metabolic process
GO:0046654,DHFR GCH1 GART ATIC DHFR2,5,tetrahydrofolate biosynthetic process
GO:2000773,MIF SIRT1 TWIST1 AKT3 TERF2 SIRT6 FBXO5 TBX2 TERT WNT1 MAP3K3 PTEN RBL1 YBX1 CDK6 HMGA2 ABL1 FZR1 BCL6 ZKSCAN3 PLK2,21,negative regulation of cellular senescence
