GO,Genes,Gene_Count,Term_Description,50perc_contaminated_Genes,100perc_contaminated_Genes
GO:0032385,LDLRAP1 SCP2D1 ANXA2 SCP2,4,positive regulation of intracellular cholesterol transport,LDLRAP1 SCP2 TRIM45 NME5,HMGA2 MID2 HSFX2 FOXP4
GO:0002468,NOD1 HLA-DRA CLEC4A HLA-DRB1 CCL21 NOD2 CCL19 SLC11A1 HLA-DRB3 CCR7 CD68 FCGR2B THBS1 FGL2 CD74,15,dendritic cell antigen processing and presentation,CD68 HLA-DRB3 CCL19 CCL21 HLA-DRA NOD2 THBS1 TESC MED8 AMBP DNAJB4 OR51V1 ATP6V1D MBD3 MRPL48,JAG1 LTK ARL17A SLCO4A1 PLEKHO2 NDUFS5 ZC3H12D ASAP3 UTP6 CACNA1F PEX13 LYZL6 SSR2 PDGFRB CRISPLD1
GO:0033683,OGG1 ERCC5 XPA ERCC4 NTHL1,5,"nucleotide-excision repair, DNA incision",XPA NTHL1 NAA11 SCD5 CDCA8,MBTPS2 PRCD BUB3 SLC13A1 FADS2
GO:0035672,SLC7A11 SLC25A39 SLC26A6 ABCB9 SLC15A4 ABCC5 CDH17 SLC15A3 ABCC4 SLC13A3 GJA1 SLC15A1 SLC15A2 ABCC1 CA2,15,oligopeptide transmembrane transport,GJA1 SLC15A4 SLC15A1 CDH17 SLC25A39 SLC26A6 SLC15A3 CBR3 RNF121 SLITRK3 MAPK12 SEC14L1 ALDH1L1 PRB1 SCARB2,DEFB113 GLMN CELA2B SIGLEC7 RIGI CCL3L3 DEFB115 HOXD12 THBS4 TAF9 SHISA3 CFAP46 NSUN3 SLIRP TLR8
GO:0048023,OPN3 CDH3 ATP7A APPL1 ASIP RAB38 ZEB2 TYRP1 GIPC1,9,positive regulation of melanin biosynthetic process,TYRP1 CDH3 OPN3 RAB38 FGFRL1 ZNF429 DUS3L CTSK MINK1,WEE2 STIM1 EXOC4 MYO15A GLIPR1L1 ATAD3A CDCA5 PCDHA9 SYT6
GO:0044029,ZMPSTE24 NIBAN2 PIK3CA,3,hypomethylation of CpG island,ZMPSTE24 NLN PRPF6,BAP1 THAP11 TFAP4
GO:0048014,TEK ANGPT1 SVEP1 ANGPT2,4,Tie signaling pathway,SVEP1 TEK USF3 SUPT3H,CLEC19A AOC3 LRFN3 PITX2
GO:0010845,PRDM9 PRDM7 RAD51AP1 UBE2B,4,positive regulation of reciprocal meiotic recombination,PRDM7 UBE2B PSMC5 TMEM256,PLIN2 LRRC41 HSD17B12 BLOC1S3
GO:0050434,MDFIC RSF1 DHX9,3,positive regulation of viral transcription,MDFIC USF3 TAF13,FAXDC2 PNMT TRMO
GO:0036265,WDR4 METTL1 BUD23 RNMT TRMT112 RAMAC,6,RNA (guanine-N7)-methylation,BUD23 TRMT112 RAMAC RDH11 DCTN5 TBKBP1,LRSAM1 MARK4 MXRA5 FERMT1 GCM2 SPDYC
