Source	GeneSetID	GeneSetName	GeneList	n_Genes
NeST	Cluster1-10	Cluster1-10	CTRL HSD17B14 KIAA0232 PAQR8 PLA2G1B RNF145 SGMS1 SLC7A8 TBC1D12 TMCC1 UBE2Q2 WDR47	12
NeST	Cluster1-11	Cluster1-11	LMF1 MFHAS1 MR1 PLA2G1B RASL11A RNF145 SLC2A6 SNX25 SPIRE1 TTPAL USP38 ZYG11B	12
NeST	Cluster1-12	Cluster1-12	AMY2B CNPY2 EGFL7 LDLR LPL LRP8 LRPAP1 MYLIP PLA2G1B RELN SORL1 VLDLR	12
NeST	Cluster1-13	Cluster1-13	ACO1 CDKAL1 CDX2 CIAO1 CITED2 FAM96A FAM96B FBXL5 IREB2 KDM5B MAFA MMS19 PCIF1 PDX1 RTEL1 TFAP2C	16
NeST	Cluster1-14	Cluster1-14	DTWD1 DTWD2 POLD2 POLD4 POLH POLI RAD18 REV1 REV3L TBC1D19 TTLL1 UBE2V1 UBE2V2 WRNIP1 ZNF611	15
NeST	Cluster1-15	Cluster1-15	BYSL CSNK1G3 DIMT1 RPS5 RPS13 RRP12	6
NeST	Cluster1-16	Cluster1-16	DPP6 KCND2 KCND3 KCNE4 KCNIP1 KCNIP2 KCNIP4 SRSF3 SUGP2 TARDBP TRNAU1AP	11
NeST	Cluster1-17	Cluster1-17	ATAD5 FANCI PHLPP1 RAD51AP1 USP1 USP12 WDR48	7
NeST	Cluster1-18	Cluster1-18	AK2 CDH1 HADHA HADHB MT-ATP8 MT-ND4L SQSTM1	7
NeST	Cluster1-19	Cluster1-19	EGFR NR3C1 PRDX1 PRDX2 PRDX5 TXN	6
NeST	Cluster1-20	Cluster1-20	C19orf53 NDUFA13 PGLS UBA52 USE1 WDR83OS	6
NeST	Cluster1-21	Cluster1-21	AURKA CKAP5 TACC1 TACC2 YEATS4	5
NeST	Cluster1-3	Cluster1-3	AARS2 AATF ABT1 AURKAIP1 BCS1L BMS1 CHCHD1 COQ3 COQ5 COX15 COX16 COX17 COX18 CWC22 DDX10 DDX49 DDX52 DDX55 DHX30 DIEXF DRG1 EEF2 EIF5A ERAL1 ESF1 EXOSC9 FARS2 FASTKD5 FOXRED1 G3BP1 GATB GATC GFM2 GPATCH4 GRSF1 HARS2 HIST1H1B HSPA1A HSPA1B IGF2BP1 IMP3 ISCA2 KHDRBS1 KIAA0391 MAK16 METTL17 MIPEP MPHOSPH10 MTERF3 MTERF4 MTG1 MTIF2 MTPAP NAP1L1 NDUFAF7 NIFK NOB1 NOP14 NVL PFDN5 PNPT1 POLG POLRMT PRPF4B PUF60 PUS7 PWP1 PYDC1 RARS2 RCL1 RPF1 RPUSD4 RRP1 RRP1B RRP12 SCO1 SCO2 SLC25A5 SND1 SRSF10 SSB SUPV3L1 TERT TEX10 TNF TPR TRMT112 TSR1 TXN2 UQCC2 USP17L2 WARS2 ZC3HAV1 ZNF512	94
NeST	Cluster1-4	Cluster1-4	ACER1 ANK3 ARTN ASPRV1 BEND7 BNIPL C1orf106 CALML3 CAMSAP3 CAPNS2 CDH1 CDH2 CDH3 CGN CLCA2 CLDN3 CLDN4 CLDN7 CRB3 CXADR DLK2 DMKN EHF ENDOU EPCAM EPPK1 EPS8L1 ERICH5 ESRP1 ESRP2 EXPH5 F11R FAM83B FAM83G FAM83H FAT2 FXYD3 GALNT3 GBP6 GGT6 GRHL2 GRHL3 GRTP1 IRF6 KLF4 KLK11 KRT9 KRT18 KRT19 KRT28 KRTCAP3 LAD1 LGALS7 LSR LYPD3 MACC1 MALL MAP7 MARVELD3 MYBPC3 OCLN OVOL2 PHACTR3 PROM2 PRSS8 RAB9B RAB25 RHBG S100A7 S100A14 S100A16 SERPINA12 SLC10A6 SPINT1 SPINT2 SPTBN2 ST14 TACSTD2 VSIG8	79
NeST	Cluster1-5	Cluster1-5	ANKRD45 BBOF1 C1orf194 C2orf73 C11orf63 C11orf70 C11orf88 C17orf97 CATIP CC2D2A CCDC30 CCDC74A CCDC74B CCDC103 CCDC146 CCDC148 CCDC151 CCDC153 CCDC157 CCDC181 CCDC189 CCDC191 CDHR4 CFAP43 CFAP45 CFAP52 CFAP53 CFAP58 CFAP61 CFAP69 CFAP70 CFAP74 CFAP161 CFAP221 DNAH2 DNAH10 DNAL1 DNALI1 DRC3 DYX1C1 DZANK1 EFCAB1 EFCAB6 EFHC2 ENKUR ERICH3 FAM92B FAM183A FAM227A FANK1 FBXO15 FNDC11 IQCK KIF9 LDLRAD1 LRRC71 LRRC74B LRRIQ1 LRTOMT MAATS1 MNS1 MORN2 MORN3 NEK10 NPHP1 OSCP1 PACRG PCSK4 RAB36 RGS22 RSPH10B2 RSPH14 SAMD15 SAXO2 SPA17 SPACA9 SPATA17 SPEF2 TCTE1 TCTEX1D4 TCTN2 TEKT4 TMEM67 TMEM190 TOGARAM2 TPPP TPPP3 TSGA10 TTC16 TTC23L TTLL9 WDR38 ZNF474	93
NeST	Cluster1-8	Cluster1-8	MST1R PRPF31 SUB1	3
NeST	Cluster1-9	Cluster1-9	ACTR10 ADD1 AP3B1 ASNA1 DNAJC14 DYNC1H1 ELAC2 FAM175B FASTKD2 FBXO38 HSP90AA1 HSPA1A HSPA1B IDE KARS MAD2L1BP MAPK1 MARCH6 MMADHC NCOA4 NSMCE2 OSBP PCGF6 PDS5A PIK3R4 PRMT6 PSMC5 PSMD14 QARS RAD54L2 RBM8A RNF26 RXRA SHOC2 SMG8 SNAP29 SRP9 STUB1 TAX1BP1 TINF2 TRAPPC8 TRAPPC11 TXNDC9 UBC UBE2G1 UFL1 USP10	47
NeST	Cluster2-0	Cluster2-0	ABCC5 ADAM15 ASAP2 C5orf22 CDYL2 CGRRF1 COQ8A CPNE3 CXCL3 CXCL8 DHX32 DPY19L3 DUSP3 DYRK4 EFS EI24 EMP1 EMP2 ENPP4 ENPP5 EPS8L2 FNBP1L GAS6 GK GMFB GPD2 HTR2B HTR2C IL1RL2 IRF2BPL ITGB4 ITGB6 KCNA3 KCND2 KCND3 KCNIP1 KCNIP2 KCNK3 KCTD3 LAMP1 LAMP2 LPL MATK MC1R MEX3B MLPH MRPL37 MT3 MTUS1 NME4 NPC1 NUDT5 OPRD1 PDGFA PLEKHA1 PTGDR PTGDS RAB27B RELN RGS20 RILPL2 RNF144B S100A7 SEPSECS SERPINB6 SERTAD4 SHKBP1 SMIM12 SQRDL SYTL1 SYTL2 SYTL5 TIAF1 TMED8 TMEM80 TNS2 TTC31 TYRO3 VLDLR ZFP36L2 ZNF768	81
NeST	Cluster2-100	Cluster2-100	BBS9 BBS10 DPP3 LZTFL1 MKKS PSMA5 RNF19A TTC8	8
NeST	Cluster2-101	Cluster2-101	ACTL6A AR BCL6 CHD3 CREBBP EP300 H2AFZ HIST1H4A HNRNPD ING4 KAT6A MTA3 NR3C1 PML RELA RUNX1 TBL1XR1 TERT TNF TP53 YY1	21
NeST	Cluster2-102	Cluster2-102	CRHR1 CRIPAK DYRK4 RNF123 STIM1 STIM2 THBS3 THBS4 UBAC1 UCN UVSSA ZHX1 ZHX2 ZHX3	14
NeST	Cluster2-103	Cluster2-103	C1QBP GADD45GIP1 MALSU1 MRPL2 MRPL3 MRPL13 MRPL14 MRPL15 MRPL17 MRPL22 MRPL27 MRPL30 MRPL32 MRPL40 MRPL47 MRPL51 MRPL52 MRPL58 MRPS7 MRPS10 MRPS11 MRPS14 MRPS15 MRPS17 MRPS18A MRPS18C RPL17 RPL23A RPL26 RPL32 RPL35 RPS3 RPS8 RPS14 RPS15 RPS15A RPS18 RPS19 RPS20	39
NeST	Cluster2-104	Cluster2-104	IER2 KIAA1671 MAF MAP3K9 SLC7A11	5
NeST	Cluster2-105	Cluster2-105	ANKRD39 BTBD9 KCTD9 KCTD11 KLHL2 KLHL3 KLHL12 KLHL22 KLHL25 RHOBTB2 RHOBTB3 SHKBP1 WNK1 WNK2 WNK3 WNK4	16
NeST	Cluster2-106	Cluster2-106	AGBL4 ANKRD20A3 ANKRD20A4 ATRNL1 BMP10 C2orf61 C16orf89 C16orf96 C20orf203 CDH22 CDKL4 DAND5 DCDC2B DNER DPP10 FAM151B FAM189A1 FAM196B GNRH2 ID4 IGSF9B KLHL33 KNDC1 MEGF6 MUM1L1 MYO15B NIPSNAP3B NRXN3 NUDT11 PCDH19 PIANP PLCXD3 PSORS1C1 PTCHD1 PTP4A3 SCGN SLC14A2 SLC25A21 TMEM252 VSTM5 WBSCR17 WFIKKN2	42
NeST	Cluster2-107	Cluster2-107	HOXA1 HOXA2 HOXA3 HOXA4 HOXA5 HOXA6 HOXA11 HOXB2 HOXB3 HOXB4 HOXB5 HOXB6 HOXB7 HOXB8 HOXB9 HOXD3 HOXD4 HOXD8 HOXD9 HOXD10 HOXD11	21
NeST	Cluster2-108	Cluster2-108	C11orf49 EPM2AIP1 LRRC49 MYSM1 NICN1 PGBD1 SLC39A6 SLC39A10 TBC1D19 TPGS1 TTC23 TTLL1 ZKSCAN1 ZKSCAN8 ZNF24 ZNF135 ZNF174 ZNF197 ZNF232 ZNF449 ZNF500 ZSCAN1 ZSCAN21	23
NeST	Cluster2-109	Cluster2-109	ARSA CNP GALNS MYL7 SMARCB1 UACA	6
NeST	Cluster2-110	Cluster2-110	ATG4B CA9 MAPRE2 MAPRE3 NECAB2 PFKL PFKP SCNN1G STOM SYT9 TARS TBCA TBCE TCP1 TNPO1 TNPO2 TNPO3 TUBA3C TUBA3D TUBA3E TUBA8 TUBB1 TUBB3 TUBB8 TXNDC9 UCHL1 XPO1 XPO6	28
NeST	Cluster2-111	Cluster2-111	ABCF2 ARMC6 BCCIP CBX3 CHURC1 CWC27 ELAC2 FAM98A FAM161A GLRX2 GLRX3 METAP2 MLST8 NSMAF PCMT1 PCYT1B POC1B	17
NeST	Cluster2-112	Cluster2-112	AHRR BTN1A1 CRB2 HLX IER5 KLLN MSC NFKBID NTNG2 OPRL1 OR2A7 PAOX PLCXD1 PORCN PSMA8 R3HDM4 RALGPS2 SAMD10 SAT1 SCYL3 SECTM1 SERAC1 SIDT1 SLC17A9 ST3GAL1 TAS2R4 TAS2R20 TENM2 TGFB2 TNFRSF19 TTC9 TTC39C TTL WDR47 WDR86 WNT10A ZBED6CL ZNF285 ZNF330 ZNF713	40
