Source	GeneSetID	GeneList	n_Genes	LLM Name	LLM_best_matching_GO	best_matching_GO_ID	best_matching_GO_term_genes	best_matching_GO_term_size	Supporting Count	LLM_JI
L1000	BRD-A00546892_-666_MCF7_6.0_h_10.0_um	CITED2 COL5A1 CRABP2 KCTD12 MDFIC MMP2 NRP1 ORC1 PEG10 RCBTB2 S100A8 TMEM45A TWIST1 VIM CLU COCH CST3 DNAJB1 FAM46A LMO2 MAOB NRN1 SLC27A2 ZBTB20	24	Cellular Matrix Remodeling and Tissue Development	connective tissue development	GO:0061448	CRIP1 GDF5 IL17F MAF NOTCH1 AMELX VPS13B NFATC2 TRIP11 RXFP1 IFT80 SLC39A14 SLC25A25 OPTC SLC39A13 PBXIP1 ACTA2 LOX CER1 MYF5 WNT11 FKRP UNCX XBP1 SCX GDF2 TRPS1 RSPO2 BMP2 RFLNA ZBTB16 SLC26A2 NOG NPR2 MUSTN1 SERPINB7 CHI3L1 CCN1 ACAT1 CCN4 ATF2 BPNT2 RASAL2 SATB2 SELENOM HOXD3 LNPK HOXB3 SFRP2 TWSG1 GHR COL27A1 MEF2D BMP3 MSX1 TRPM4 LARGE1 DGAT2 PRRX1 LOC102724560 COL5A1 MSX2 PTHLH PDGFA SMAD3 EFEMP1 UBB AXIN2 FGF18 ITGB3 BMP8A MEX3C SIRT1 SH3PXD2B EXT2 NR1H4 FGFR3 NFIA NCOA2 SULF1 BMP10 GDF7 ZNF664-RFLNA EVC BMP1 WNT7A MATN1 PDGFRB EGR1 LEP GREM1 FRZB SHOX2 MBOAT2 COMP FGFR1 ARID5B GLI3 RARA BMP5 SMAD1 CHST11 CTNNB1 EIF2AK3 LRP5 LTBP3 WNT9A PITX1 TIMP1 BMP6 SOX5 HAND1 FGF9 CD34 BBS1 ZNF516 BMPR1A ABHD15 ID4 SULF2 OSR1 BMP7 BGN OTOR SMAD5 PPARG RARB PTPN11 SNAI1 GATA3 MATN3 GPLD1 MAPK3 BMP4 SOX8 CSGALNACT1 POU4F2 NCOA1 PPARGC1A BMPR2 ZEB1 EXT1 TGFBR2 HYAL2 RFLNB BMP8B MMP13 MKKS SPART CREB3L2 THRA PTH1R LPL PRKG2 FGF6 MDK CYTL1 PIK3CA BBS2 CD44 EDN1 SPI1 PUM2 PDGFB GDF6 TAPT1 ZMPSTE24 WT1 COL11A2 CHADL GLG1 TGFBR1 SIX2 OSR2 SCIN MEF2C COL11A1 SNAI2 BBS4 SOX6 DYRK1B MGP IHH CCN3 PTH FOXC2 TRPV4 SPTLC2 PDGFD CASR FTO KAT2A MAPK14 AMER1 WNT10B CNMD WNT7B HIF1A WNT2B PARP1 RUNX1 RORC TSKU HOXA11 SNORC CSF1 HRAS PAXIP1 COL1A1 ARRDC3 RARG TGFB1 HAND2 FOXA1 SRF WNT5B BMPR1B DDRGK1 ARID5A ATP7A PGRMC2 NAMPT PPARD LOXL2 SMAD7 PKD1 HOXC4 DHRS7B STC1 TYMS SOX9 PKDCC SMPD3 ECM1 TBL1XR1 PLAAT3 CCN2 CFLAR HES5 WNT5A EPYC CHSY1 EBF2 ADAMTS7 KLF7 ADAMTS12 ERRFI1 GPR4 IL6R RB1 RUNX3 CHRDL2 ITGB8 HSD17B1 NPPC SERPINH1 CTSK HOXA5 PRKAA1 SNX19 HMGA2 ACVRL1 NKX3-2 COL2A1 ZNF219 FOXD1 HYAL3 GHRL RUNX2 BARX2 OGN HYAL1 LIPA COL3A1 HOXA3 FGF2 UMODL1 TGFBI DLX2 NFIB CBS HMGCS2 FOSL2 SORL1 FGF4 THBS3	286	5.0	0.016181229773462782
L1000	BRD-A00993607_ALPRENOLOL_MCF7_6.0_h_10.0_um	1060P11.3 ADM AHR AMIGO2 ARL4C ATP10D CAV2 CD44 CDC42EP3 CHST1 COLEC12 DENND1B EMP1 EXT1 FAM129A FZD6 GLIPR1 IER5 IGF2BP3 KLRB1 LPAR6 NT5E PLIN2 PLXNA1 POSTN PPP1R3C QPCT SLC5A3 SPON2 TMEM158 TNFSF10 TRIB2 AGR2 CCL19 COMP CRK CXCL13 FAM46A GOLGA8A GRN GSTM3 HPRT1 MYO5C NGFRAP1 PLA2G16 SERPINA3 SLC5A6	47	Cellular Adhesion and Extracellular Matrix Interaction	cell-matrix adhesion	GO:0007160	CX3CL1 BCR ARHGEF7 PLET1 ITGA7 TNXB ADAMTS13 NF2 CD63 FMN1 CORO1C FERMT1 CDH11 PLAU ITGB6 FUT1 MYF5 SVEP1 CCR7 JAM3 COL16A1 ITGAE CDKN2A PRKCZ NID2 PHLDB2 LIMCH1 POSTN NEXMIF PTK2 ARHGAP6 TRPM7 APOD FBLN5 CDK5 AJAP1 EPHA1 PIP5K1A SLC9A1 HOXD3 VCAM1 ONECUT2 EFNA5 ITGB7 PTPRA BCAM DUSP3 DMTN COL17A1 SMAD3 SRC LDB1 RIN2 FERMT2 ONECUT1 ITGB3 NF1 HPSE CD36 MMP12 ACER2 EPB41L5 COL13A1 ITGA2B CTTN FGA NRP1 WNT4 ITGAL MYOC FAM107A DISC1 ITGA1 ITGA4 CLASP2 ITGAX GREM1 ITGA10 BCL2L11 DLC1 TAOK2 PARVG ACTN1 TSC1 STON1 RHOA FGB ITGA3 CTNNB1 SDC4 LYVE1 GSK3B EMP2 PLEKHA2 ROCK1 POLDIP2 FGL1 CD34 WDPCP ACTG1 ABL1 RRAS TRIP6 CD96 CASK TECTA DUSP22 ITGAM LYPD3 PIK3CB PTK2B EPHA3 TIMM10B CLASP1 BCL6 CIB1 L1CAM ITGAD SLK BST1 ACTN2 PKHD1 EPDR1 HRG RAC1 THBS1 ILK ITGAV TNN MADCAM1 ITGA2 ROCK2 PPFIA1 ADAM15 SFRP1 DAG1 VTN ITGBL1 ITGB5 TMEM8B CD44 WHAMM LIMS1 MUC4 ITGB4 PTEN S100A10 MINK1 PPFIA2 UTRN PEAK1 EFEMP2 ITGB2 TEK KDR FREM1 CCL25 SKAP1 NID1 RCC2 TIAM1 DAPK3 AJUBA PPM1F CORO2B RHOD VWA2 PTPRK CSF1 CCL28 MMP14 SRF PIK3R1 SIGLEC1 ITGA6 MAP4K4 JUP PTPRJ OTOA CDH13 SORBS1 GPM6B RASA1 SERPINE1 ECM2 PKD1 SGCE VCL DDR1 MKLN1 ADAMTS9 CEACAM6 ITGA5 STRC ITGA9 CCN2 FN1 GFUS JAG1 ITGA8 ADAMTS12 EDA ITGB1 THSD1 STON1-GTF2A1L CCL21 ITGB1BP1 ITGB8 VEGFA DEFB118 MSLN CD3E ANGPTL3 COL5A3 CDK6 MACF1 ACVRL1 ACTN3 TLN1 FERMT3 BCL2 NPNT ZYX COL3A1 EMILIN1 FGG ITGA11 ADAM9 SEMA3E CAMSAP3 THY1 TESK2 SNED1 HOXA7 THBS3	235	6.0	0.02142857142857143
L1000	BRD-A00993607_Alprenolol hydrochloride_MCF7_6.0_h_10.0_um	ABAT ASS1 CHI3L1 CHST2 CLDN3 EIF5B FRZB GAL HEBP2 MAN2A1 NELL2 PDE8B TBC1D1 TRD TRDV3 TYMP VAMP8 1060P11.3 AKR1B1 ARMCX1 ATF1 CAPN3 CAV1 CAV2 CNN3 CSTA DKK1 DLD EIF4A1 EPB41L2 FADS1 G3BP1 HLA-DPA1 HPRT1 LGALS3BP LHFP LYPLA1 MARCKS MN1 MTUS1 MYH10 NRIP1 OPN3 PIK3R1 PLLP POLR2K PTGER4 RBBP4 RDX THBS1 TMEM255A TNS1 TNS3 TOP2A TRAM1 TSPYL5 UFM1 WFDC2 WSB1	59	System of unrelated proteins						
L1000	BRD-A01320529_Salmeterol_MCF7_6.0_h_10.0_um	AMIGO2 AREG GAS6 GPR37 IFT57 PELI1 SQLE AKAP12 EXOSC4	9	System of unrelated proteins						
L1000	BRD-A01346607_FLUMETHASONE_MCF7_6.0_h_10.0_um	1060P11.3 CPE EFNB2 HIST1H2AC IL1R2 INHBB LYPD1 NUP93 SOX9 AKAP12 ALCAM CDH3 CTSH GDF15 SUMO2	15	System of unrelated proteins						
L1000	BRD-A01593789_CHLORMADINONE ACETATE_MCF7_6.0_h_10.0_um	1060P11.3 ADH5 ADM ATF3 CASP1 CLEC2B CPA3 CRIM1 DKK3 FEZ1 MECOM MKNK1 NXN PCK1 RGCC S100A8 SPON1 SST TMEM41B CYP1B1 DNAJC12 ETFB FOLR1 GPX3 IGFBP4 MAN1C1 OXA1L PIK3R1 RAD23B RARRES1 RNF167 SORD SPDEF TACSTD2 TBC1D4 TFF1 TNC TSPYL5	38	Stress Response and Apoptosis Regulation	regulation of cellular response to stress	GO:0080135	TAF6L TWIST1 IER5 MID1 PPP1R10 BOK MBTD1 TAF9 DUSP10 PRKDC TMEM33 TAF10 DUSP19 ABCD1 MAPKAPK2 EIF2AK1 TRAF4 H2AX PDX1 YBX3 ZNF622 AGER POT1 TRIAP1 BABAM2 SFRP2 EP300 ACTB PTPN22 SH3RF3 MORF4L2 PRRX1 TIRAP INO80B DDX11 ING4 TPD52L1 SPRED2 SMARCD1 APP BID LYN SIRT1 SCARF1 TERF2 TADA1 ERCC1 SH3RF2 PRDX1 TLR9 TNR VDAC1 EIF2AK2 TNF PCNA GSK3B WNT16 TELO2 WAS PTPN2 PTPRS RAD9A ACTL6A CCDC117 EPC2 RASGRP1 MAPK1 HSPA5 NFE2L2 NCOA7 F2RL1 PTK2B MANF SNAI1 EYA1 MAP2K2 SERINC3 TOP2B NCOR1 PTPN1 KAT2B ZBTB7B NPPA AQP11 SPIRE2 NFRKB DYRK1A TIGAR AGR2 ATM YY1 LTBR PPP4R3B CD44 RNF185 SOX4 FOXO1 MAP3K3 ADCY8 IL26 BRCA2 RIF1 TAF5 TNFRSF19 VPS72 SNAI2 EDAR HSF1 AXIN1 KAT7 FAM168A MAPKBP1 SMYD2 MAD2L2 WNT7B PARP1 HELB CORO2B PRKN HDAC10 PARP3 PMAIP1 ETAA1 TMEM161A RTCA EFHD1 DUSP16 DDRGK1 INO80D SIRT6 GADD45A DVL3 NOD1 YEATS4 TMBIM6 GRN PPP4R2 NCF1 FUT8 USP15 COPS5 UNC5CL SH3RF1 NOD2 SLC7A11 CRY1 SF3B3 RAD52 DDAH1 MORF4L1 TAF2 BAX VHL MAPT BDKRB2 SMARCA4 KLHL31 TAF12 ERCC8 BCL2 PER1 HIPK3 PHLPP1 MYC USP22 RADX ATF6 NUDT16L1 TBC1D24 BRD8 DAB2IP WRAP53 EYA2 MBTPS2 ERCC4 TERF2IP MAP2K1 TFIP11 CCR7 XBP1 WFS1 TNIK MAGEA3 BMP2 FGF10 TRIM28 RNF13 UFL1 KHDC3L SEMA4C RNF8 SUPT3H KMT5C GRIK2 DHX9 RAP2A CYLD HYOU1 RELL1 HAPSTR1 HDAC6 ENY2 TADA3 PNKP DDX39B NCK1 CD36 TNFSF11 SMARCD2 MTURN ZNF675 FKTN TTI1 MUC1 MYD88 BABAM1 TAOK2 IGFBP6 RNFT1 INO80 ING2 DLG1 SLC25A14 ITCH RUVBL2 EZR UCHL5 INSIG2 ERCC6 HDGFL2 HDAC3 OTUB1 BCL7C BCL2L1 UBXN2A HIPK2 ACTR8 SELENOS BCAP31 BMP7 CDC42 DUSP22 SMARCD3 NUPR1 SMARCE1 PIK3CB SGTA RMI2 RTEL1 HIC1 PINK1 PML PSMD10 MAPK3 FBH1 SGF29 RNFT2 MEAK7 INO80C NR1H2 PDCD10 KAT5 ARID2 ROCK2 MAP3K5 PDCD4 TAF7 BCL7B HMGB1 MAP2K4 ATR BRD7 SEMA3A NBR1 KDM1A GDF6 ZMPSTE24 CAV1 PTPRF SPRING1 DMAP1 ING3 CARD9 BFAR MAP3K11 KAT2A SPRED1 DPF3 RACK1 USP19 STK25 OXR1 SPIDR RNF168 PYHIN1 FICD EIF4G1 HAND2 TMX1 CUL4A ARL6IP5 MAP4K4 TPT1 ZC3H12A TGFB2 DPF1 HGF MAGEF1 MBIP PTTG1IP EYA3 FECH OOEP DPF2 TIFAB ACKR3 MAPK8IP3 ATAD5 DEK CD27 FAS DNAJA1 CXCL12 IGBP1 RASSF2 PEDS1-UBE2V1 DACT1 FZD7 EYA4 UBE2V1 FCGR2B SLAMF1 TLR4 CLN3 EGFR CEBPG TREM2 OPRK1 CCL19 OPRM1 FLNA PBRM1 TTI2 TAOK3 RECQL5 TRAF2 CGAS CD74 TGFBR3 LETM1 USP51 AMBP XDH EPC1 BARD1 SPP1 ARID1A PPP4C CHCHD2 PTGS2 CREB3L1 TLR3 FBLN5 IL1B AUNIP SUPT7L UBE2V2 PTN PRMT1 NAIP FZD10 SPHK1 TRIM32 BRAF WDR76 RELL2 DUSP3 ATF6B MAPK8IP2 CYREN AIFM2 SENP3 DNAJB9 BRCC3 ZMYND11 KREMEN1 NPM1 RFWD3 MIF THOC1 PYCARD SASH1 MARVELD3 RPS3 STK24 DVL2 TP53 USP14 DNAJC7 WNT7A ARID1B GREM1 BCL2L11 MECOM LEP BAD PNPLA8 NACC2 TADA2B DNMT3A DDX5 ANKRD1 MAP3K20 KMT5B TMEM259 ARHGEF2 SERPINF2 PLA2R1 SPIRE1 KDM4D IGF1R FEM1B SLF1 ABL1 PIGBOS1 SHLD1 GSTP1 KLHDC10 STK39 VPS13C INPP5F USP1 PPP1R15B FANCB RNASEH2B BMP4 MRNIP RGMA SLC38A2 KLHL15 ACTL6B DDIAS EDA2R RPA2 PPP1R15A DNAJB6 TAF5L EPHA4 INSIG1 SERPINB3 CDK9 PUM2 COPS3 UBXN1 CCAR2 SKIL GRINA MRGBP DUSP1 TAF9B PARPBP PIAS4 AJUBA PJA2 SIRT7 ZCWPW1 HNRNPK STUB1 OTUB2 SDCBP CREBBP RTN4RL1 PIK3R1 NPAS2 NSD2 PLCB1 THOC5 UBE2N ACTR2 MARCHF7 MAP3K4 PHF10 USP47 CHORDC1 TP53BP1 CRHBP MAP4K2 RIPK2 CDKN2D CCL21 FBXO4 PPIA KLF4 SLC25A23 ERP29 DNAJC2 POLQ SETMAR RAD51 SLF2 THY1 INO80E ZNF365 ABRAXAS1 LPCAT3 RB1CC1 TAF6 RIPK1 DKK1 SMARCB1 BAK1 SF3B5 CLU MFHAS1 GADD45G KCNK2 FGF19 QARS1 MCRS1 PBK YJU2 OPA1 PAGE4 CREB3 RNF169 FUS SYVN1 HELQ ALOX5 PARK7 MEAF6 MSX1 ZNHIT1 LRIG2 RUVBL1 MAP3K10 HERPUD1 AMFR TAOK1 TFPT ACTR5 MEN1 CHEK1 UIMC1 UBQLN1 CBX8 EIF2AK3 BCL7A SMARCC1 CNTF XRCC1 MAPKAP1 GCH1 ABCA7 SMARCC2 DRD2 MGMT RTN4R DHFR CRK TXNDC12 RAD51AP1 ULK4 OGG1 FLT4 SMARCA2 FMN2 MAP2K7 CERS2 STK3 NOL3 ATXN7 INAVA XIAP MDFIC PARG PAFAH1B1 ENO1 NR1H3 WDR48 BRCA1 SPI1 MINK1 FOXM1 LRRK2 FKBP1B SIRPA NOX1 FIGNL1 EEF1E1 TAF4 TRPV4 MTOR MDM2 AIDA FBXW7 ATRIP ATXN3 HRAS SMCHD1 NCK2 GADD45B ERN1 UBQLN2 PHF13 GPS2 EPO KIAA0319 KMT5A IER3 MICU1 SCIMP LGALS9 TMED2 CCN2 ANKRD6 DYRK3 PRKCG WNT5A SUPT20H USP25 NEO1 SHLD2 TRRAP BIRC7 BAG6 POLH VEGFA RPL26 HMGA2 TIMELESS SVIP MAPK8IP1 EPHB1 IL1A CAV3 NRK ELL3 RNF183 EP400 ZNF385A UBQLN4 USP13 DNAJB1 SETD2 AXIN2	646	5.0	0.007331378299120235
L1000	BRD-A02006392_NITRENDIPINE_MCF7_6.0_h_10.0_um	1060P11.3 ADAM17 AKAP12 ALCAM AMFR BIK CASP2 CCL18 CD58 CLU CPT1A CST3 CTNNB1 CXCL8 DDX3Y EIF1AY EIF2S3 EIF5A FOSL1 FTH1 GLUL GNL3L GPX3 GUSBP3 HMGCS1 HNRNPH1 HNRNPL KLF4 MAFF MAPK13 MTCL1 NPIPB3 NUTF2 PHLDA2 PPP3R1 RPS4Y1 S100A6 SAT1 SEC22B SEL1L3 SET SMA4 SRSF6 STRN3 STT3A TFF3 TLR4 TMEM176B TNFAIP6 TP53 TSPAN8 ZNF451 ZNF652 ARNT2 BTG3 CDKN2A CYP1B1 DPP4 GABRP GPM6B GPR116 H2AFV HEBP1 HSPA1A ID1 IGHM MMP7 PLA2G4A PLEKHM1 RAI14 SERPINA5 SHB SNX7 TFPI2 VTCN1 ZNF395	76	Cellular Stress Response and Apoptosis Regulation	regulation of cellular response to stress	GO:0080135	TAF6L TWIST1 IER5 MID1 PPP1R10 BOK MBTD1 TAF9 DUSP10 PRKDC TMEM33 TAF10 DUSP19 ABCD1 MAPKAPK2 EIF2AK1 TRAF4 H2AX PDX1 YBX3 ZNF622 AGER POT1 TRIAP1 BABAM2 SFRP2 EP300 ACTB PTPN22 SH3RF3 MORF4L2 PRRX1 TIRAP INO80B DDX11 ING4 TPD52L1 SPRED2 SMARCD1 APP BID LYN SIRT1 SCARF1 TERF2 TADA1 ERCC1 SH3RF2 PRDX1 TLR9 TNR VDAC1 EIF2AK2 TNF PCNA GSK3B WNT16 TELO2 WAS PTPN2 PTPRS RAD9A ACTL6A CCDC117 EPC2 RASGRP1 MAPK1 HSPA5 NFE2L2 NCOA7 F2RL1 PTK2B MANF SNAI1 EYA1 MAP2K2 SERINC3 TOP2B NCOR1 PTPN1 KAT2B ZBTB7B NPPA AQP11 SPIRE2 NFRKB DYRK1A TIGAR AGR2 ATM YY1 LTBR PPP4R3B CD44 RNF185 SOX4 FOXO1 MAP3K3 ADCY8 IL26 BRCA2 RIF1 TAF5 TNFRSF19 VPS72 SNAI2 EDAR HSF1 AXIN1 KAT7 FAM168A MAPKBP1 SMYD2 MAD2L2 WNT7B PARP1 HELB CORO2B PRKN HDAC10 PARP3 PMAIP1 ETAA1 TMEM161A RTCA EFHD1 DUSP16 DDRGK1 INO80D SIRT6 GADD45A DVL3 NOD1 YEATS4 TMBIM6 GRN PPP4R2 NCF1 FUT8 USP15 COPS5 UNC5CL SH3RF1 NOD2 SLC7A11 CRY1 SF3B3 RAD52 DDAH1 MORF4L1 TAF2 BAX VHL MAPT BDKRB2 SMARCA4 KLHL31 TAF12 ERCC8 BCL2 PER1 HIPK3 PHLPP1 MYC USP22 RADX ATF6 NUDT16L1 TBC1D24 BRD8 DAB2IP WRAP53 EYA2 MBTPS2 ERCC4 TERF2IP MAP2K1 TFIP11 CCR7 XBP1 WFS1 TNIK MAGEA3 BMP2 FGF10 TRIM28 RNF13 UFL1 KHDC3L SEMA4C RNF8 SUPT3H KMT5C GRIK2 DHX9 RAP2A CYLD HYOU1 RELL1 HAPSTR1 HDAC6 ENY2 TADA3 PNKP DDX39B NCK1 CD36 TNFSF11 SMARCD2 MTURN ZNF675 FKTN TTI1 MUC1 MYD88 BABAM1 TAOK2 IGFBP6 RNFT1 INO80 ING2 DLG1 SLC25A14 ITCH RUVBL2 EZR UCHL5 INSIG2 ERCC6 HDGFL2 HDAC3 OTUB1 BCL7C BCL2L1 UBXN2A HIPK2 ACTR8 SELENOS BCAP31 BMP7 CDC42 DUSP22 SMARCD3 NUPR1 SMARCE1 PIK3CB SGTA RMI2 RTEL1 HIC1 PINK1 PML PSMD10 MAPK3 FBH1 SGF29 RNFT2 MEAK7 INO80C NR1H2 PDCD10 KAT5 ARID2 ROCK2 MAP3K5 PDCD4 TAF7 BCL7B HMGB1 MAP2K4 ATR BRD7 SEMA3A NBR1 KDM1A GDF6 ZMPSTE24 CAV1 PTPRF SPRING1 DMAP1 ING3 CARD9 BFAR MAP3K11 KAT2A SPRED1 DPF3 RACK1 USP19 STK25 OXR1 SPIDR RNF168 PYHIN1 FICD EIF4G1 HAND2 TMX1 CUL4A ARL6IP5 MAP4K4 TPT1 ZC3H12A TGFB2 DPF1 HGF MAGEF1 MBIP PTTG1IP EYA3 FECH OOEP DPF2 TIFAB ACKR3 MAPK8IP3 ATAD5 DEK CD27 FAS DNAJA1 CXCL12 IGBP1 RASSF2 PEDS1-UBE2V1 DACT1 FZD7 EYA4 UBE2V1 FCGR2B SLAMF1 TLR4 CLN3 EGFR CEBPG TREM2 OPRK1 CCL19 OPRM1 FLNA PBRM1 TTI2 TAOK3 RECQL5 TRAF2 CGAS CD74 TGFBR3 LETM1 USP51 AMBP XDH EPC1 BARD1 SPP1 ARID1A PPP4C CHCHD2 PTGS2 CREB3L1 TLR3 FBLN5 IL1B AUNIP SUPT7L UBE2V2 PTN PRMT1 NAIP FZD10 SPHK1 TRIM32 BRAF WDR76 RELL2 DUSP3 ATF6B MAPK8IP2 CYREN AIFM2 SENP3 DNAJB9 BRCC3 ZMYND11 KREMEN1 NPM1 RFWD3 MIF THOC1 PYCARD SASH1 MARVELD3 RPS3 STK24 DVL2 TP53 USP14 DNAJC7 WNT7A ARID1B GREM1 BCL2L11 MECOM LEP BAD PNPLA8 NACC2 TADA2B DNMT3A DDX5 ANKRD1 MAP3K20 KMT5B TMEM259 ARHGEF2 SERPINF2 PLA2R1 SPIRE1 KDM4D IGF1R FEM1B SLF1 ABL1 PIGBOS1 SHLD1 GSTP1 KLHDC10 STK39 VPS13C INPP5F USP1 PPP1R15B FANCB RNASEH2B BMP4 MRNIP RGMA SLC38A2 KLHL15 ACTL6B DDIAS EDA2R RPA2 PPP1R15A DNAJB6 TAF5L EPHA4 INSIG1 SERPINB3 CDK9 PUM2 COPS3 UBXN1 CCAR2 SKIL GRINA MRGBP DUSP1 TAF9B PARPBP PIAS4 AJUBA PJA2 SIRT7 ZCWPW1 HNRNPK STUB1 OTUB2 SDCBP CREBBP RTN4RL1 PIK3R1 NPAS2 NSD2 PLCB1 THOC5 UBE2N ACTR2 MARCHF7 MAP3K4 PHF10 USP47 CHORDC1 TP53BP1 CRHBP MAP4K2 RIPK2 CDKN2D CCL21 FBXO4 PPIA KLF4 SLC25A23 ERP29 DNAJC2 POLQ SETMAR RAD51 SLF2 THY1 INO80E ZNF365 ABRAXAS1 LPCAT3 RB1CC1 TAF6 RIPK1 DKK1 SMARCB1 BAK1 SF3B5 CLU MFHAS1 GADD45G KCNK2 FGF19 QARS1 MCRS1 PBK YJU2 OPA1 PAGE4 CREB3 RNF169 FUS SYVN1 HELQ ALOX5 PARK7 MEAF6 MSX1 ZNHIT1 LRIG2 RUVBL1 MAP3K10 HERPUD1 AMFR TAOK1 TFPT ACTR5 MEN1 CHEK1 UIMC1 UBQLN1 CBX8 EIF2AK3 BCL7A SMARCC1 CNTF XRCC1 MAPKAP1 GCH1 ABCA7 SMARCC2 DRD2 MGMT RTN4R DHFR CRK TXNDC12 RAD51AP1 ULK4 OGG1 FLT4 SMARCA2 FMN2 MAP2K7 CERS2 STK3 NOL3 ATXN7 INAVA XIAP MDFIC PARG PAFAH1B1 ENO1 NR1H3 WDR48 BRCA1 SPI1 MINK1 FOXM1 LRRK2 FKBP1B SIRPA NOX1 FIGNL1 EEF1E1 TAF4 TRPV4 MTOR MDM2 AIDA FBXW7 ATRIP ATXN3 HRAS SMCHD1 NCK2 GADD45B ERN1 UBQLN2 PHF13 GPS2 EPO KIAA0319 KMT5A IER3 MICU1 SCIMP LGALS9 TMED2 CCN2 ANKRD6 DYRK3 PRKCG WNT5A SUPT20H USP25 NEO1 SHLD2 TRRAP BIRC7 BAG6 POLH VEGFA RPL26 HMGA2 TIMELESS SVIP MAPK8IP1 EPHB1 IL1A CAV3 NRK ELL3 RNF183 EP400 ZNF385A UBQLN4 USP13 DNAJB1 SETD2 AXIN2	646	7.0	0.009762900976290097
L1000	BRD-A02176148_TUBAIC ACID_MCF7_6.0_h_10.0_um	CASP1 CAST CD52 CLC COL1A2 COL3A1 COL5A2 CPA3 DKK3 DPYSL3 FN1 GJA1 GPNMB GULP1 IDO1 LPAR6 LUM MEG3 MKNK1 MOSPD1 MSN MUC16 PAEP PAPSS2 PLCB3 SPON1 FABP5 FERMT2 HK2 NRN1 PTGES TCN1 THAP11 UGCG	34	Extracellular Matrix Organization and Cell Signaling Modulation	regulation of extracellular matrix organization	GO:1903053	LRP1 IER3IP1 ANTXR1 NOTCH1 LAMB1 CST3 TIE1 MELTF TCF15 SOX9 TNXB DAG1 CLASP2 FAP PDPN DDR1 ANGPTL7 TGFBR3 FGFR4 SLC2A10 FSCN1 CFLAR DPP4 ADTRP LAMA1 BMP2 RGCC CHADL TGFBR1 RB1 PHLDB2 RIC1 PHLDB1 AEBP1 EFEMP2 TNFRSF1A CPB2 LAMC1 ABL1 DDR2 PRDM5 TNFRSF1B COLGALT1 NID1 AGT RUNX1 IL6 MAD2L2 CLASP1 PPARG EMILIN1 LAMA2 SMAD4 HAS2 CARMIL2 LAMB2 SMAD3 TGFB1 ITGB3 AXIN2	60	6.0	0.06382978723404255
L1000	BRD-A02367930_ETHINYL ESTRADIOL_MCF7_6.0_h_10.0_um	1060P11.3 ADM CD44 CD9 CHGB CHST1 CYP4B1 FRZB GSTA1 IGL LEF1 LPAR6 PLEKHM1 POSTN SCGB1D2 SCGB2A1 SELENBP1 VEGFA VTCN1 ALDH1A3 ANXA3 APOD CCL18 FOLR1 HOPX KIAA0125 KRT7 LXN RBPMS RPS27L SELL STOM TFPI	33	System of unrelated proteins						
L1000	BRD-A02710418_Meptazinol hydrochloride_MCF7_6.0_h_10.0_um	1060P11.3 CLEC2B CPB1 GREM1 HIST1H1C IGJ KRT81 LUM MEIS2 MUC16 S100A9 SULF1 TCF4 TRPS1 ZNF217 CSRP2 CYBA GPX3 GSTM3 IFI44L IGF2BP3 RNF167 SRPX TFF3	24	System of unrelated proteins						
